연번,업종명,인허가일자,업소명,소재지,소재지(지번),영업자시작일,업태명,급수시설,영업상태,데이터기준일
1,일반음식점,1970-07-08,천화원,경상남도 거제시 신부로 2-4 (장승포동),경상남도 거제시 장승포동 232-29 ,2016-06-08,중국식,상수도전용,운영중,2021-03-04
2,일반음식점,1972-09-16,해중식당,경상남도 거제시 신부로1길 6 (장승포동),경상남도 거제시 장승포동 283-18 ,2005-12-05,한식,상수도전용,운영중,2021-03-04
3,일반음식점,1972-05-22,만리향,경상남도 거제시 일운면 지세포로 96-1,경상남도 거제시 일운면 지세포리 935-3 ,1972-05-22,중국식,상수도전용,운영중,2021-03-04
4,일반음식점,1973-11-16,연화횟집,경상남도 거제시 일운면 구조라로 38,경상남도 거제시 일운면 구조라리 81 ,2020-10-06,횟집,상수도전용,운영중,2021-03-04
5,일반음식점,1973-05-04,고가네생선구이,경상남도 거제시 일운면 구조라로 36,경상남도 거제시 일운면 구조라리 80 ,1973-05-04,한식,상수도전용,운영중,2021-03-04
6,일반음식점,1973-12-29,보영반점,,경상남도 거제시 장목면 장목리 302 ,2009-03-18,중국식,상수도전용,운영중,2021-03-04
7,일반음식점,1974-07-15,왔다반점,경상남도 거제시 두모길 10 (두모동),경상남도 거제시 두모동 365-1 ,2010-03-19,중국식,상수도전용,운영중,2021-03-04
8,일반음식점,1976-04-20,청포횟집,경상남도 거제시 장승포로 117 (장승포동),경상남도 거제시 장승포동 166 ,1976-04-20,횟집,상수도전용,운영중,2021-03-04
9,일반음식점,1976-07-06,종점식당,,경상남도 거제시 사등면 성포리 351 ,2013-03-29,한식,상수도전용,운영중,2021-03-04
10,일반음식점,1976-01-23,평화횟집,경상남도 거제시 사등면 성포로3길 12,경상남도 거제시 사등면 성포리 350-10 ,1976-01-23,횟집,상수도전용,운영중,2021-03-04
11,일반음식점,1976-07-03,중앙횟집,경상남도 거제시 장목면 외포5길 62-1,경상남도 거제시 장목면 외포리 131-9 ,1976-07-03,횟집,상수도전용,운영중,2021-03-04
12,일반음식점,1977-04-15,장승포양꼬치,경상남도 거제시 장승포로 13 (장승포동),경상남도 거제시 장승포동 499-32 ,2014-09-18,식육(숯불구이),상수도전용,운영중,2021-03-04
13,일반음식점,1979-11-29,남천해물전문점,"경상남도 거제시 고현로9길 6 (고현동, (1층))",경상남도 거제시 고현동 819-9 ,2001-02-27,한식,상수도전용,운영중,2021-03-04
14,일반음식점,1980-02-08,부일횟집,경상남도 거제시 장승포로 109 (장승포동),경상남도 거제시 장승포동 182-14 ,1979-05-02,횟집,상수도전용,운영중,2021-03-04
15,일반음식점,1979-06-20,마레스토랑,경상남도 거제시 거제대로 3433-1 (아주동),경상남도 거제시 아주동 209-4 ,2020-04-22,경양식,상수도전용,운영중,2021-03-04
16,일반음식점,1980-05-22,선창식당,경상남도 거제시 장목면 장목7길 21-1,경상남도 거제시 장목면 장목리 319-28 ,2004-12-02,횟집,상수도전용,운영중,2021-03-04
17,일반음식점,1980-11-01,다래횟집,경상남도 거제시 장목면 외포5길 62 ((1층)),경상남도 거제시 장목면 외포리 131-8 (1층) ,2020-08-21,횟집,상수도전용,운영중,2021-03-04
