,연번,업소명,소재지,소재지전화번호,주된음식,최신재지정일자
0,1,삼영식당,경상북도 경주시 봉황로 67 (서부동),054-771-3030,복어탕,2018-11-27
1,2,시골여행,경상북도 경주시 포석로 641 (배동),054-771-4089,"칼국수, 만두",2018-11-27
2,3,보문한우셀프구이식당,경상북도 경주시 엑스포로 9 (신평동),054-776-9200,소고기 요리,2018-11-27
3,4,대구식당,경상북도 경주시 북정로 5 (황오동),054-772-1384,소갈비찜,2018-11-27
4,5,주식회사 맷돌순두부,경상북도 경주시 북군길 7 (북군동), 054-745-2791,순두부,2018-11-27
5,6,송원숯불갈비,경상북도 경주시 외동읍 입실로 1 (외 3필지),054-744-6464,소고기 숯불구이,2018-11-27
6,7,교동쌈밥,경상북도 경주시 첨성로 77 (황남동), 054-773-3322,쌈한정식,2018-11-27
7,8,동궁 반점,경상북도 경주시 북군길 27 (북군동), 054-745-7080,중화요리,2018-11-27
8,9,산성숯불갈비식당,경상북도 경주시 숲머리길 211 (보문동), 054-749-5008,숯불구이,2018-11-27
9,10,바다회식당,경상북도 경주시 감포읍 동해안로 2002-3, 054-744-3546,생선회,2018-11-27
10,11,정화송이순두부,경상북도 경주시 북군길 5 (북군동), 054-745-2313,순두부,2018-11-27
11,12,명성회직매장,경상북도 경주시 감포읍 감포로2길 105, 054-775-4913,생선회,2018-11-27
12,13,할매낙지식당,경상북도 경주시 한빛길 4 (성건동),054-771-0034,낙지전골,2018-11-27
13,14,수석정,경상북도 경주시 내리길 41 (배반동),054-748-0835,한식코스요리,2018-11-27
14,15,장수두부촌,경상북도 경주시 마동탑마을길 7-5 (마동),054-746-3880,삼색두부,2018-11-27
15,16,평양냉면집,경상북도 경주시 원효로 109-2 (노동동),054-772-2448,"냉면,갈비",2018-11-27
16,17,삼도숯불갈비식당,경상북도 경주시 숲머리길 116 (보문동), 054-771-7717,숯불구이,2018-11-27
17,18,경주꽃게장,경상북도 경주시 알마을길 6-27 (충효동), 054-743-1302,게장요리,2018-11-27
18,19,주식회사 함양집,경상북도 경주시 북군1길 10-1 (북군동),054-777-6947,전통비빔밥,2018-11-27
19,20,토박이식당,경상북도 경주시 북군길 21 (북군동), 054-748-7025,갈치찌개,2018-11-27
20,21,금성관,경상북도 경주시 초당길 117 (동천동), 054-746-4371,게장정식,2018-11-27
21,22,토함산식당,경상북도 경주시 새골길 197 (하동), 054-745-7706,닭백숙,2018-11-27
22,23,고색창연,경상북도 경주시 보불로 58-4 (마동),054-748-0952,떡갈비정식,2018-11-27
