업소명,소재지,업태명,주된음식,전화번호,데이터기준일자
바다횟집,경상북도 영주시 번영로 81 (휴천동),회집,활어회,054-632-5553,2018-06-01
소백산산마루식당,경상북도 영주시 풍기읍 죽령로 1549,한식,오리훈제,054-635-1399,2018-06-01
자미가식당,경상북도 영주시 부석면 부석사로 311,한식,부석태청국장정식,054-632-3454,2018-06-01
영신숯불회관,경상북도 영주시 번영로173번길 5 (영주동),식육(숯불구이),갈비살,054-634-4589,2018-06-01
장수송어회식당,경상북도 영주시 장수면 갈미로 62,회집,생선회,054-637-3549,2018-06-01
파스타부오노,"경상북도 영주시 번영로 155, 2층 (영주동)",경양식,파스타,054-636-1123,2018-06-01
중앙식육식당,경상북도 영주시 중앙로 113-1 (하망동),식육(숯불구이),갈비살,054-631-3649,2018-06-01
들소식당,"경상북도 영주시 남간로 5 (휴천동,707-7)",식육(숯불구이),갈비살+삼겹살,054-631-0050,2018-06-01
함흥면옥석쇠구이,경상북도 영주시 중앙로 109-10 (하망동),냉면집,냉면,054-638-0070,2018-06-01
소백산생고기식당,경상북도 영주시 대학로 16 (휴천동),식육(숯불구이),갈비살+삼겹살,054-632-6784,2018-06-01
풍기삼계탕,경상북도 영주시 중앙로 130 (하망동),탕류(보신용),삼계탕,054-631-4900,2018-06-01
사철식당,경상북도 영주시 영주로231번길 30 (영주동),기타,찌개,054-635-2961,2018-06-01
근로자복지회관,경상북도 영주시 영봉로 83 (휴천동),한식,한식,054-636-5459,2018-06-01
참나무생고기숯불구이,경상북도 영주시 번영로 173 (영주동),식육(숯불구이),생삽겹살,054-636-5255,2018-06-01
작은행복레스토랑,"경상북도 영주시 장수로 281 (문정동,(지상2층))",경양식,돈까스+안심스테이크,054-637-7111,2018-06-01
명동감자탕,"경상북도 영주시 중앙로106번길 8, 1호 (하망동)",탕류(보신용),감자탕+매운찜,054-635-7235,2018-06-01
우미초밥,경상북도 영주시 선비로 93 (휴천동),회집,생선회+회초밥,054-634-0933,2018-06-01
축산본점식육식당,"경상북도 영주시 번영로173번길 10 (영주동,외1필지)",식육(숯불구이),갈비살,054-631-1437,2018-06-01
영빈숯불회관,경상북도 영주시 중앙로63번길 29 (영주동),식육(숯불구이),한우불고기,054-631-2814,2018-06-01
이리오너라,경상북도 영주시 선비로 206 (영주동),한식,부대찌게+생가오리찜,054-637-7877,2018-06-01
만당해장국,"경상북도 영주시 대학로 6 (휴천동, 외2필지)",탕류(보신용),해장국,054-632-8200,2018-06-01
메밀명가,경상북도 영주시 중앙로 45 (영주동),분식,냉면,054-632-5935,2018-06-01
성심원조순대해장국,경상북도 영주시 중앙로80번길 9 (하망동),한식,순대전골,054-635-2709,2018-06-01
돈벼락식당,"경상북도 영주시 대학로 10, 1-2층 (휴천동, 외2필지)",식육(숯불구이),삼겹살+주물럭,054-632-2077,2018-06-01
운현별궁식당,"경상북도 영주시 원당로 90-1 (휴천동,외1필지)",한식,한정식,054-634-3594,2018-06-01
김영남손짜장,경상북도 영주시 선비로 269-1 (영주동),중국식,자장면+짬뽕,054-632-5758,2018-06-01
설렁탕명가,경상북도 영주시 지천로 120-1 (휴천동),탕류(보신용),설렁탕+갈비탕,054-635-4577,2018-06-01
약선당식당,경상북도 영주시 봉현면 신재로 887-14,한식,인삼정식+삼계탕,054-638-2728,2018-06-01
순흥애꽃,경상북도 영주시 순흥면 회헌로 913,한식,꼬막정식+삼계탕,054-631-8432,2018-06-01
동천가든식육식당,경상북도 영주시 신재로12번길 90 (가흥동),식육(숯불구이),한우갈비살+한우불고기,054-632-7043,2018-06-01
부일식당,경상북도 영주시 이산면 웃무리로 80,한식,매운갈비찜,054-635-1799,2018-06-01
청정회수산,"경상북도 영주시 선비로 83, 비동 (휴천동)",회집,생선회+물회,054-632-8824,2018-06-01
비원한정식,경상북도 영주시 원당로 94 (휴천동),한식,한정식,054-635-0788,2018-06-01
황소걸음식당,경상북도 영주시 조암로 11 (조암동),식육(숯불구이),갈비살+등심,054-635-9292,2018-06-01
흥부가,경상북도 영주시 대학로 92 (가흥동),식육(숯불구이),육회비빔밥+한우불고기,054-638-2094,2018-06-01
복어마을,"경상북도 영주시 대학로 42, B동 (휴천동,외1필지)",복어취급,복매운탕,054-632-1118,2018-06-01
영주축협한우프라자,경상북도 영주시 풍기읍 안풍로308번길 7,식육(숯불구이),갈비살,054-631-8400,2018-06-01
영주청정한우,"경상북도 영주시 가흥로2번길 223 (문정동,(1~2층))",식육(숯불구이),갈비+등심,054-635-4600,2018-06-01
시이골한우식육식당,"경상북도 영주시 선비로 89, 101호 (휴천동)",식육(숯불구이),한우+한돈,054-638-2274,2018-06-01
너른마당,경상북도 영주시 구성로 117 (조암동),한식,닭백숙,054-634-0606,2018-06-01
횡재먹거리한우,경상북도 영주시 풍기읍 소백로 2156 (외1필지(2층)),식육(숯불구이),갈비살,054-638-0094,2018-06-01
선비골순대,"경상북도 영주시 번영로 182-1 (영주동, 외2필지)",한식,순대국밥,054-638-8889,2018-06-01
소문난암소갈비,경상북도 영주시 순흥면 소백로 2605,식육(숯불구이),갈비살,054-633-2030,2018-06-01
방아식당,경상북도 영주시 영주로86번길 26 (가흥동),한식,갈비정식,054-636-3131,2018-06-01
우준아빠의찜이야,경상북도 영주시 가흥로 29-1 (문정동),한식,돼지고기찜,054-636-1177,2018-06-01
사조참치,"경상북도 영주시 대학로240번길 3, 1층 (가흥동)",회집,참치회,054-635-0112,2018-06-01
솥뚜껑꿀돼지,경상북도 영주시 신재로12번길 89 (가흥동),식육(숯불구이),삼겹살,054-631-1412,2018-06-01
더큰한우숯불구이,경상북도 영주시 대학로 193 (가흥동),식육(숯불구이),갈비살,054-632-8588,2018-06-01
바보형제쭈꾸미영주점,"경상북도 영주시 대동로34번길 3-13, 102호 (가흥동)",한식,쭈꾸미볶음,054-636-8100,2018-06-01
부산횟집,경상북도 영주시 광복로 121 (하망동),회집,인삼한방물회,054-631-1110,2018-06-01
다운식당,경상북도 영주시 선비로 272-7 (영주동),한식,부석태청국장,054-632-3522,2018-06-01
샤브샤브봄,경상북도 영주시 지천로 5 (조암동),한식,탕류,054-632-8009,2018-06-01
불쭈꾸미,경상북도 영주시 중앙로 43 (영주동),한식,쭈꾸미볶음,054-638-0911,2018-06-01
삼뜨락,경상북도 영주시 풍기읍 안풍로 307-12,한식,인삼돌솥밥,054-631-8233,2018-06-01
까르비소,"경상북도 영주시 영주로231번길 20, 2층 (영주동)",경양식,함박스테이크,054-632-1566,2018-06-01
