연번,업소명,업종명,소재지,전화번호,비고
1,중화반점,일반음식점,경상북도 영천시 역전로 33-1 (완산동),054-334-2082,영업
2,국수랑 밥이랑,일반음식점,경상북도 영천시 역전로 53-1 (완산동),054-335-4540,영업
3,팔공산식당,일반음식점,경상북도 영천시 청통면 청통로 894-52,054-335-1057,영업
4,대창돼지찌개,일반음식점,경상북도 영천시 대창면 대창시장길 27,054-336-5510,영업
5,압구정김밥,일반음식점,경상북도 영천시 금호읍 원제2길 16-8 (윤성상가 108),054-337-7488,영업
6,춘향이와 이도령(소주방),일반음식점,경상북도 영천시 신녕면 장수로 1670-1,054-333-1104,영업
7,포항할매집,일반음식점,"경상북도 영천시 시장4길 52 (완산동,제2지구)",054-334-4531,영업
8,서부식당,일반음식점,경상북도 영천시 장수로 23-1 (화룡동),054-338-8033,영업
9,완산골 콩나물라면,일반음식점,경상북도 영천시 역전로 53 (완산동),054-334-9165,영업
10,화평대군,일반음식점,경상북도 영천시 최무선로 212 (성내동),054-334-2514,영업
11,제일식당,일반음식점,경상북도 영천시 야사시장길 13-16,054-331-1177,영업
12,포항식당(포항식육식당),일반음식점,경상북도 영천시 대창명 금박로 1054,054-335-4021,영업
13,우정분식,일반음식점,경상북도 영천시 백신애길 4 (과전동),054-334-4733,영업
14,낙원식당,일반음식점,경상북도 영천시 완산중앙5길 7 (완산동),054-334-3251,영업
15,바다장터,일반음식점,경상북도 영천시 시장로 60-2 (완산동),054-334-4177,영업
16,광명식당,일반음식점,경상북도 영천시 통운길 13 (완산동),054-334-2802,영업
17,옹달샘식당,일반음식점,경상북도 영천시,054-333-5936,주소지불분명
18,행복막창,일반음식점,경상북도 영천시,054-000-0000,주소지불분명
19,신녕소머리 국밥,일반음식점,경상북도 영천시 신녕면 장수로 1669-1,054-332-0014,영업
20,원곡식당(원곡식육식당),일반음식점,경상북도 영천시 북안면 운북로 1429,054-337-4043,영업
21,영광구이(영광분식),일반음식점,경상북도 영천시 북안면 임포역길 97-1,054-336-3358,영업
22,명주식당,일반음식점,경상북도 영천시 북안면 운북로 1432-1,054-337-5223,영업
23,산성한우곰탕,일반음식점,경상북도 영천시 시장4길 52,054-331-3290,영업
24,열구통닭,일반음식점,경상북도 영천시,054-000-0000,주소지불분명
25,부흥식당(반점),일반음식점,경상북도 영천시 금호읍 금호로 106,054-334-0203,영업
26,부산식당(한식),일반음식점,경상북도 영천시 청통면 사일로 153,054-332-1643,영업
27,사일식당,일반음식점,경상북도 영천시 청통면 사일로 136-3,054-337-4314,영업
28,못뚝식당,일반음식점,경상북도 영천시 청통면 사일로 140,054-332-1648,영업
29,새조양식당,일반음식점,경상북도 영천시 충효로 85-1 (문외동),054-334-6667,영업
30,진주통닭,일반음식점,경상북도 영천시 완산중앙2길 23,054-333-6677,영업
31,상록분식,일반음식점,"경상북도 영천시 문화새길 25, B동 5호 (야사동)",054-000-0000,영업
32,편대장영화식당,일반음식점,경상북도 영천시 강변로 50-15 (금노동),054-334-2655,영업
33,유진식당,일반음식점,경상북도 영천시 시장4길 52,054-331-6883,영업
34,시장식당,일반음식점,경상북도 영천시 완산2길 9 ,054-334-4667,영업
35,영동식육식당,일반음식점,경상북도 영천시,054-334-2952,주소지불분명
36,강산구이,일반음식점,경상북도 영천시 화남면 천문로 1614-1,054-337-4191,영업
37,새임고식당,일반음식점,경상북도 영천시 자양면 포은로 1632,054-337-1020,영업
38,건천식당,일반음식점,경상북도 영천시 고경면 용담로 1379-16,054-336-4710,영업
39,산아래,일반음식점,경상북도 영천시 고경면 용담로 1379-7,054-335-3883,영업
40,경주식당,일반음식점,경상북도 영천시 임고면 포은로 752-1,054-336-5777,영업
41,맥시칸통닭,일반음식점,경상북도 영천시 완산중앙2길 17 (완산동),050-4570-8481,영업
42,대한식육식당,일반음식점,경상북도 영천시 장수로 51 (화룡동),054-334-4295,영업
43,희락식당,일반음식점,경상북도 영천시 완산중앙1길 6 (완산동),054-334-2733,영업
44,역전식육식당,일반음식점,경상북도 영천시 통운길 4 (완산동),054-336-4270,영업
45,원두막식당,일반음식점,경상북도 영천시 역전로 11 (완산동),054-337-2533,영업
46,장수통닭,일반음식점,경상북도 영천시 금호읍 금호시장길 44-2,054-334-0303,영업
47,자양식당,일반음식점,경상북도 영천시 자양면 포은로 1626,054-336-9014,영업
48,영천댐식당,일반음식점,경상북도 영천시 자양면 포은로 1624,054-336-8015,영업
49,남일횟집,일반음식점,경상북도 영천시 자양면 포은로 1631,054-336-8010,영업
50,장군숯불뒷고기(구 영화식당),일반음식점,경상북도 영천시 자양면 포은로 1628,054-336-8009,영업
51,대영식당,일반음식점,경상북도 영천시 고경면 호국로 1073,054-336-3260,영업
52,구룡포대게과메기해산물,일반음식점,경상북도 영천시 청산2길 4,054-331-6679,영업
53,삼거리 기사식당,일반음식점,경상북도 영천시 한방로 149 (작산동),054-335-2679,영업
54,바로커양념통닭,일반음식점,경상북도 영천시 금호읍 금호로 112-1,054-337-2120,영업
55,미정식당,일반음식점,경상북도 영천시 청통면 청통로 894-31,054-335-1355,영업
