시군구,업태,주메뉴,업소명,소재지,전화번호 ,비고
중구,한식,막창,5시5막창팩토리,울산광역시 중구 곽남1길 26 지상1층 (남외동),052-297-8288,
중구,탕류(보신용),삼계탕/전복삼계탕/전복죽,궁중삼계탕,울산광역시 중구 먹자거리 6 (성남동),052-244-1156,
중구,복어취급,복국/매운탕/복수육/복불고기,진화복국,울산광역시 중구 함월6길 5-9 (성안동),052-211-4644,
중구,한식,어탕국수/황태찜/회,지리산어탕국수,울산광역시 중구 함월6길 5-3 (성안동),052-245-6677,
중구,한식,삼겹살,생생왕소금구이,울산광역시 중구 곽남길 11 (약사동),052-296-6677,
중구,한식,장어구이,금강장어구이,울산광역시 중구 산전길 8-1 지상2.3층 (남외동),052-297-9205,
중구,한식,목살구이,다운목살구이식당,울산광역시 중구 운곡안길 9 (다운동),052-224-7979,
중구,한식,황태해장국/생태찌개,강원도해장국,울산광역시 중구 북부순환도로 864 (서동),052-294-9400,
중구,복어취급,복회/복샤브샤브,대가복집,울산광역시 중구 신기5길 9 (태화동),052-245-2666,
중구,한식,닭갈비/철판볶음밥,유가네닭갈비,울산광역시 중구 젊음의거리 42 (성남동),052-212-3392,
중구,식육(숯불구이),돼지갈비/삼겹살,강터참숯불집,울산광역시 중구 내오산로 3-1 (태화동),052-249-1799,
중구,한식,돌솥정식/영양갈비찜,외갓집,울산광역시 중구 옥골샘2길 5 (학산동),052-246-2352,
중구,한식,오리불고기/백숙,황토방가든,울산광역시 중구 성동1길 74 (성안동),052-243-7500,
중구,한식,돼지갈비/삼겹살,금강산숯불생고기,울산광역시 중구 반구정14길 17 (반구동),052-292-1746,
중구,한식,짬뽕(돼지+낙지)/낙지볶음/닭볶음탕,병영나들목,울산광역시 중구 산전길 7 지상2층 (남외동),052-281-0833,
중구,한식,돼지갈비/삼겹살,초원숯불갈비,울산광역시 중구 젊음의1거리 15 (성남동),052-243-5419,
중구,한식,오리불고기/장어구이,솔밭가든,울산광역시 중구 함월20길 65 (성안동 외1필지),052-243-5292,
중구,분식,메밀국수,메밀꽃필무렵,울산광역시 중구 내오산로 35 (태화동),052-224-2434,
중구,한식,갈비살/꽃등심/생오리숯불구이,고운정,울산광역시 중구 성안15길 63 (성안동),052-248-5292,
중구,한식,굴국밥/생굴회,김명자굴국밥성안점,울산광역시 중구 성안로 148 (성안동),052-243-9970,
중구,한식,삼겹살/돼지갈비,대박터숯불촌,울산광역시 중구 구교로 52 (학산동),052-285-2070,
중구,한식,삼계탕/백숙,장수삼계탕,울산광역시 중구 계변로 69 (복산동),052-282-9282,
중구,한식,삼계탕/오리불고기/오리탕,계성,울산광역시 중구 함월1길 24 (성안동),052-243-3535,
중구,분식,옹심이칼국수/감자전/감자송편,옹심이칼국수,울산광역시 중구 백양로 182 (성안동),052-243-1121,
중구,분식,냉면,물참면옥,울산광역시 중구 함월17길 26 (성안동),052-243-3390,
중구,한식,동태탕/황태찜,김영희강남동태찜,울산광역시 중구 백양로 88 지상1층 (성안동),052-248-1007,
중구,한식,삼겹살/쌈밥,목토숯불갈비,울산광역시 중구 해오름8길 65 (남외동 (지상1층)),052-298-9592,
중구,회집,생선회,대어,울산광역시 중구 함월로 11 A동 (성안동),052-243-7886,
중구,뷔페식,뷔페,동천컨벤션,울산광역시 중구 염포로 55 (남외동 남외운동장내),052-282-3000,
중구,한식,뼈다귀해장국/감자탕,조마루뼈다귀,울산광역시 중구 번영로 549 (약사동),052-285-2220,
중구,한식,돼지고기구이,천금,울산광역시 중구 성안로 267 (성안동 (1층)),052-242-0456,
중구,한식,민물장어/간장게장,풍천가,울산광역시 중구 남외2길 26 2층 (남외동),052-286-0592,
중구,한식,오리불고기/오리백숙,성안감나무집,울산광역시 중구 성동길 88 1층 (성안동),052-243-5656,
중구,기타,닭갈비,춘천참나무숯불닭갈비,울산광역시 중구 종가8길 26 4층 (복산동),052-294-9077,
중구,냉면집,냉면,청한옥,울산광역시 중구 종가8길 35 2층 (복산동),052-294-3007,
