구분,명칭,소재지,연락처,병상수,직원수,병원보유차량,기준일자
병원,(의)동제의료재단울진중앙병원,경상북도 울진군 후포면 후포삼율로 157,054-787-1212,34,20,1,2020-09-25
병원,울진군의료원,경상북도 울진군 울진읍 현내항길 71,054-785-7016,81,146,1,2020-09-25
요양병원,(의)동제의료재단오차드요양병원,경상북도 울진군 후포면 동해대로 441,054-788-9090,134,54,1,2020-09-25
요양병원,울진군의료원요양병원,경상북도 울진군 울진읍 현내항길 71,054-785-7016,67,18,0,2020-09-25
의원,강남성모의원,경상북도 울진군 후포면 후포삼율로 123,054-787-1936,0,4,0,2020-09-25
의원,김형석외과의원,경상북도 울진군 후포면 삼율4길 4,054-788-4080,0,4,0,2020-09-25
의원,남내과의원,경상북도 울진군 울진읍 읍내8길 9,054-782-5636,0,3,0,2020-09-25
의원,누가의원,경상북도 울진군 북면 울진북로 2067,054-782-4979,0,6,0,2020-09-25
의원,삼성의원,경상북도 울진군 북면 장터길 100,054-782-3313,0,5,0,2020-09-25
의원,서울의원,경상북도 울진군 후포면 울진대게로 24-6,054-788-7585,0,3,0,2020-09-25
의원,서울정형외과의원,경상북도 울진군 울진읍 울진중앙로 117,054-782-1199,24,8,0,2020-09-25
의원,손상문외과의원,경상북도 울진군 후포면 삼율2길 25,054-788-8275,28,11,0,2020-09-25
의원,연세가정의학과의원,경상북도 울진군 평해읍 평해로 71,054-787-9654,0,4,0,2020-09-25
의원,연세의원,경상북도 울진군 죽변면 죽변북로 15,054-782-7933,0,4,0,2020-09-25
의원,울진마취통증의학과의원,경상북도 울진군 울진읍 울진중앙로 118,054-781-1004,0,6,0,2020-09-25
의원,울진지청현의원,경상북도 울진군 울진읍 연호로 8,054-783-8668,0,5,0,2020-09-25
의원,제일안과의원,경상북도 울진군 울진읍 울진중앙로 118,054-783-8575,0,3,0,2020-09-25
의원,하나로내과의원,경상북도 울진군 울진읍 연호로 12,054-783-9595,0,8,0,2020-09-25
의원,현대의원,경상북도 울진군 죽변면 죽변북로 18,054-783-0907,0,6,0,2020-09-25
의원,시원한마취통증과의원,경상북도 울진군 후포면 후포삼율로 98(2층),054-788-3575,0,9,0,2020-09-25
