업종명,업소명,소재지,업소소재지(지번),소재지전화,데이터기준일자
이용업,신성,경상북도 의성군 옥산면 입암1길 34,경상북도 의성군 옥산면 입암리 1105번지 29호   ,,2019-01-31
이용업,춘산,경상북도 의성군 춘산면 금성현서로 1480-1,경상북도 의성군 춘산면 옥정리 311번지   ,,2019-01-31
이용업,시대이발관,경상북도 의성군 의성읍 중앙길 34-2,경상북도 의성군 의성읍 도동리 920번지 1호   ,054-834-4494,2019-01-31
이용업,부영이발소,경상북도 의성군 안계면 안계길 122,경상북도 의성군 안계면 용기리 469번지 17호   ,054-861-6870,2019-01-31
이용업,협심,경상북도 의성군 옥산면 신감옥산로 1192,경상북도 의성군 옥산면 구성리 443번지 1호   ,,2019-01-31
이용업,최신,경상북도 의성군 안계면 안계길 138,경상북도 의성군 안계면 용기리 468번지 10호   ,,2019-01-31
이용업,신흥,경상북도 의성군 가음면 금성현서로 468-1,경상북도 의성군 가음면 장리 1341번지 1호   ,054-833-9015,2019-01-31
이용업,제일,경상북도 의성군 안계면 용기3길 3,경상북도 의성군 안계면 용기리 853번지   ,,2019-01-31
이용업,동산,경상북도 의성군 의성읍 군청길 61,경상북도 의성군 의성읍 중리리 751번지 1호   ,054-833-8565,2019-01-31
이용업,광신,경상북도 의성군 의성읍 문소1길 79-6,경상북도 의성군 의성읍 도동리 962번지   ,053-832-1007,2019-01-31
이용업,이층,경상북도 의성군 의성읍 중앙길 68-1,경상북도 의성군 의성읍 후죽리 615번지 2호   ,054-832-1173,2019-01-31
이용업,삼신,경상북도 의성군 단북면 연제효제길 10-1,경상북도 의성군 단북면 연제리 17번지 4호   ,,2019-01-31
이용업,안동,<REPLACE>,경상북도 의성군 의성읍 중리리 856번지 7호   ,054-834-2870,2019-01-31
이용업,국신,경상북도 의성군 의성읍 군청길 41,경상북도 의성군 의성읍 중리리 693번지 5호   ,,2019-01-31
이용업,태성,경상북도 의성군 다인면 서릉1길 9,경상북도 의성군 다인면 서릉리 123번지 3호   ,,2019-01-31
이용업,협동,경상북도 의성군 의성읍 북부길 11,경상북도 의성군 의성읍 후죽리 858번지 125호   ,054-832-3515,2019-01-31
이용업,북원,경상북도 의성군 의성읍 홍술로 143,경상북도 의성군 의성읍 후죽리 858번지 55호   ,054-832-5755,2019-01-31
이용업,상록수,<REPLACE>,경상북도 의성군 점곡면 서변리 114번지   ,,2019-01-31
