업소명,소재지,전화번호,주메뉴,분류
북면자연농원,경상남도 계성면 영산계성로 397-5,055-521-8858,"오리불고기, 오리탕",한식
우포한우프라자,경상남도 계성면 영산계성로 457,055-536-4114,한우숯불구이 및 갈비탕,한식
물망초횟집,경상남도 남지읍 남지강변길 112,055-536-5510,자연산활어회,회집
조선옥삼계탕,경상남도 남지읍 동포7길 19-1,055-526-1044,"삼계탕,석쇠불고기",한식
화덕본가,경상남도 남지읍 남지중앙1길 17-1,055-521-8592,돼지갈비,한식
월남쌈샤브이야기,경상남도 남지읍 남지중앙로 83-1,055-526-4296,월남쌈샤브,한식
연안바다횟집,경상남도 남지읍 남포1길 2,055-536-4252,"모듬회,회덮밥",회집
가현한우생고기전문점,경상남도 대지면 경남대로 4897-51,055-532-9259,한우생고기,한식
향촌가든,경상남도 도천면 가마골2길 5,055-536-4450,"촌닭,오리백숙,송이백숙",한식
통일냉면,경상남도 도천면 개울길 29-8,055-521-8852,"냉면, 갈비탕",한식
양평해장국,경상남도 도천면 낙동로 811,055-526-0118,"양평해장국, 소내장탕",한식
달맞이,경상남도 도천면 영산도천로 18-7 (외1필지),055-521-5577,돼지양념갈비,한식
진짜순대집,경상남도 도천면 일리새긴길 8,055-536-4388,"순대전골, 모듬순대",한식
옛날손짜장,경상남도 부곡면 부곡로 48-6,055-536-6981,"쟁반짜장, 우동",중식
박통시골밥상,경상남도 부곡면 온천1길 52,055-521-3990,"버섯소고기전골, 시골밥상",한식
서울식육식당,경상남도 부곡면 온천1길 65,055-536-6369,"소갈비살,산채비빔밥",한식
흥부네전골,경상남도 부곡면 온천2길 42 ((같은번지내 변경)),055-536-0293,"불고기전골,황태전골",한식
삼조원바다횟집,경상남도 부곡면 온천로 639-1,055-521-2731,"바다회,회덮밥",회집
전주식당,경상남도 부곡면 온천중앙로 64,055-536-5577,"김치전골, 불낙전골 등",한식
황부자숯불갈비,경상남도 부곡면 원앙로 49 (외1필지),055-536-5103,"한우등심,지리산흑돼지",한식
조은집애 인동한우 식육식당,경상남도 영산면 원다리길 23,055-536-0012,한우불고기,한식
언양숯불매생이전문점,경상남도 영산면 영산장마로 747,055-536-7999,"소양념갈비,백숙",한식
도리원,경상남도 영산면 온천로 103-25,055-521-6116,장아찌,한식
로타리식육식당,경상남도 영산면 온천로 69,055-536-3551,"한우등심, 돼지고기 등",한식
창녕한우프라자,경상남도 영산면 온천로 99,055-536-0475,인동초한우전문점,한식
우포늪식당,경상남도 유어면 우포늪길 187,055-532-8649,"잉어,붕어,메기찜,탕",한식
귀촌마을,경상남도 창녕읍 갈전1길 15,055-533-9600,"돼지갈비,돌솥밥",한식
부생밀면고기집,경상남도 창녕읍 군청길 26,055-533-0392,"삼겹살, 밀면",한식
도천진짜순대창녕점,경상남도 창녕읍 화왕산로 71,055-532-4388,"순대전골, 모듬순대",한식
하나비,경상남도 창녕읍 화왕산로 88,055-532-0074,"생선회,일식요리",일식
창녕대가,경상남도 창녕읍 화왕산로 66,055-532-3301,"한우쇠고기,된장찌개",한식
석정숯불갈비,경상남도 창녕읍 명덕로 84-11,055-533-1180,숯불갈비,한식
금성칡냉면,경상남도 창녕읍 당산1길 32,055-533-9966,칡냉면,한식
선하회,"경상남도 창녕읍 술정중앙길 18-6 (신우프라자(106,107,108호))",055-533-0503,"바다회,회덮밥",회집
가얏골감자탕,경상남도 창녕읍 우포2로 1179,055-532-1770,"김치감자탕,시래기감자탕",한식
창녕한우,경상남도 창녕읍 우포2로 1200,055-533-3321,"한우쇠고기, 돼지고기",한식
화왕산풀향기식당,경상남도 창녕읍 자하곡길 75,055-533-9098,"수제비,버섯전골",한식
금별식당,경상남도 창녕읍 창녕대동길 39,055-532-9393,"아구찜,추어탕",한식
고궁,경상남도 창녕읍 탑금당길 16,055-532-0335,"청국장, 오리불고기",한식
주왕산삼계탕,경상남도 창녕읍 화왕산1로 69,055-533-9985,삼계탕,한식
화왕산갈비마을,경상남도 창녕읍 화왕산로 18,055-532-9292,"돼지갈비,소갈비",한식
양반청국장,경상남도 창녕읍 화왕산로 64,055-533-0066,청국장 전문점,한식
풀무원식품㈜영산휴게소 한식당,경상남도 영산면 장척호수길 56-110,055-521-2978,"장터국밥,김치찌개",한식
