지역,업소명,영업주,소재지,소재지전화번호
경상북도 청송군 청송읍,왕버들식당,김성순,경상북도 청송군 청송읍 중앙로 480,054-873-2664
경상북도 청송군 청송읍,섭이네가든,심상휴,경상북도 청송군 청송읍 휴양단지길 50,054-873-1081
경상북도 청송군 청송읍,만수무강,김효정,경상북도 청송군 청송읍 논시골로 14,054-872-8881
경상북도 청송군 청송읍,웰빙하우스,김흔,경상북도 청송군 청송읍 휴양단지길 34-1,054-873-9957
경상북도 청송군 청송읍,명품수타왕손짜장,박운학,경상북도 청송군 청송읍 금월로 213,054-874-7979
경상북도 청송군 청송읍,수궁식당,조탁래,경상북도 청송군 청송읍 월막7길7,054-872-3010
경상북도 청송군 청송읍,농가맛집 두연,장두연,경상북도 청송군 청송읍 초막안길 2,054-873-3016
경상북도 청송군 청송읍,텃밭지기,박경순,경상북도 청송군 청송읍 주왕산로 264,054-873-0815
경상북도 청송군 청송읍,청향,하영희,경상북도 청송군 청송읍 중앙로 291-1,054-873-8883
경상북도 청송군 청송읍,달기약수닭백숙 해성,이해성,경상북도 청송군 청송읍 중앙로 415,054-873-2351
경상북도 청송군 청송읍,한솔국밥,조탁래,경상북도 청송군 청송읍 중앙로 256,054-874-9898
경상북도 청송군 주왕산면,송이가든,김춘옥,경상북도 청송군 주왕산면 주왕산로 504,054-874-0066
경상북도 청송군 주왕산면,송암가든,홍영희,경상북도 청송군 주왕산면 공원길 64,054-873-0606
경상북도 청송군 주왕산면,청송영양축산농협한우프라자,김성동,경상북도 청송군 주왕산면 주왕산로 440,054-873-9282
경상북도 청송군 주왕산면,수달래,최주영,경상북도 청송군 주왕산면 주왕산로 494-1,054-518-5230
경상북도 청송군 주왕산면,빠띠오,최주영,경상북도 청송군 주왕산면 주왕산로 494-1,054-518-5230
경상북도 청송군 주왕산면,주왕산가든,윤인경,"경상북도 청송군 주왕산면 주왕산로 508-9, 2층",054-874-4991
경상북도 청송군 부남면,부남식당,박연희,경상북도 청송군 부남면 대전로 121,054-873-3015
경상북도 청송군 현서면,동인숯불가든,김기만,경상북도 청송군 현서면 구산북로 12,054-872-6363
경상북도 청송군 안덕면,풍경,김명순,경상북도 청송군 안덕면 복리길 25-1,054-873-5239
경상북도 청송군 파천면,청송(상주)휴게소,김철주,경상북도 청송군 파천면 중평병부길 203-92,054-872-9101
경상북도 청송군 파천면,청송(영덕)휴게소,김철주,경상북도 청송군 파천면 중평병부길 203-15,054-872-9101
경상북도 청송군 진보면,신촌식당,정월선,경상북도 청송군 진보면 신촌약수길 18,054-872-2050
경상북도 청송군 진보면,만바우촌식당,백선옥,경상북도 청송군 진보면 경동로 5173-17,054-872-2263
경상북도 청송군 진보면,신진보숯불가든,권기욱,경상북도 청송군 진보면 진보로 238,054-873-1220
경상북도 청송군 진보면,어림,이세명,경상북도 청송군 진보면 본마을2길 7,054-873-9720
경상북도 청송군 진보면,갈비명가,권동자,경상북도 청송군 진보면 진보로 64,054-874-6315
경상북도 청송군 진보면,신현대숯불갈비,최봉운,경상북도 청송군 진보면 진안동2길 8-2,054-874-3924
경상북도 청송군 진보면,청록담복어샤브,신은지,경상북도 청송군 진보면 본마을2길 20,054-874-4499
