,업종명,인허가일자,업소명,영업자,소재지(도로명),소재지,영업장면적,소재지전화,법인명,업태명,업종명.1
0,일반음식점,27810,서울식당,이신자,-,경상북도 칠곡군 왜관읍 석전리 424번지  ,0.0,054-973-3336,-,식육(숯불구이),일반음식점
1,일반음식점,27962,영진식당,박정숙,경상북도 칠곡군 지천면 신동로7길 2,경상북도 칠곡군 지천면 신리 399번지  ,0.0,054-972-2177,-,식육(숯불구이),일반음식점
2,일반음식점,27816,약목식육식당,김창순,-,경상북도 칠곡군 왜관읍 왜관리 212번지  ,49.0,054-974-0232,-,식육(숯불구이),일반음식점
3,일반음식점,27810,밴프,김순연,경상북도 칠곡군 왜관읍 중앙로 205-9,경상북도 칠곡군 왜관읍 왜관리 235번지 4호  ,0.0,054-974-0370,-,한식,일반음식점
4,일반음식점,27810,남성식당,이순옥,-,경상북도 칠곡군 왜관읍 왜관리 785번지  ,0.0,054-974-0947,-,정종/대포집/소주방,일반음식점
5,일반음식점,27806,북경반점,박명숙,경상북도 칠곡군 동명면 금암중앙길 49-1,경상북도 칠곡군 동명면 금암리 232번지 1호  ,38.15,054-976-6334,-,중국식,일반음식점
6,일반음식점,27979,초전식당,이순덕,경상북도 칠곡군 약목면 약목로2길 2-2,경상북도 칠곡군 약목면 복성리 949번지 14호  ,0.0,054-974-6701,-,한식,일반음식점
7,일반음식점,27915,참한우마당,이재옥,경상북도 칠곡군 약목면 약목로2길 2-1,경상북도 칠곡군 약목면 복성리 949번지 5호  ,64.34,054-974-0712,-,식육(숯불구이),일반음식점
8,일반음식점,28229,첫집매운탕,홍득식,-,경상북도 칠곡군 약목면 관호리 64번지  ,0.0,054-974-1963,-,탕류(보신용),일반음식점
9,일반음식점,28241,우돈나라,강성진,-,경상북도 칠곡군 약목면 관호리 896번지  ,0.0,054-973-6551,-,한식,일반음식점
10,일반음식점,28600,정일식당,권동필,경상북도 칠곡군 왜관읍 중앙로2길 31,경상북도 칠곡군 왜관읍 왜관리 236번지 5호  ,0.0,054-974-0641,-,한식,일반음식점
11,일반음식점,29158,대구식당,이영희,경상북도 칠곡군 왜관읍 칠곡대로 1746,경상북도 칠곡군 왜관읍 삼청리 483번지 12호  ,112.2,054-974-1432,-,한식,일반음식점
12,일반음식점,28998,안심식당,문근배,경상북도 칠곡군 동명면 송림길 101,경상북도 칠곡군 동명면 구덕리 75번지 2호  ,0.0,054-976-6565,-,한식,일반음식점
13,일반음식점,28945,시인과농부,송영희,경상북도 칠곡군 동명면 송림길 91,경상북도 칠곡군 동명면 구덕리 88번지 1호  ,59.92,054-976-5785,-,경양식,일반음식점
14,일반음식점,28998,동래식당,유주이,경상북도 칠곡군 동명면 송림길 69,경상북도 칠곡군 동명면 구덕리 88번지 9호  ,0.0,054-976-8588,-,한식,일반음식점
