,연 번,소매인구분,민원구분,업소명,업소지번주소,소재지,업소주소우편번호,업소전화번호,지정일자,법인구분,사업자번호,법인번호
0,1, ,제7조의3제2항에따른경우,송림가게,경상북도 고령군 쌍림면 송림리 43번지 43호,경상북도 고령군 쌍림면 송림4길 19-8,40164.0,,2019-01-10,개인,337-39-00479, 
1,2,구분없음,제7조의3제2항에따른경우,옥정슈퍼,경상북도 고령군 대가야읍 지산리 959번지 35호,경상북도 고령군 대가야읍 큰골길 47,40139.0,,2018-12-11,개인,137-67-00265, 
2,3,구분없음,제7조의3제2항에따른경우,동해식당,경상북도 고령군 우곡면 연리 370번지 1호,경상북도 고령군 우곡면 객기나루길 366,40155.0,,2018-12-04,개인,429-07-01058, 
3,4,구분없음,제7조의3제2항에따른경우,지에스25고령점,경상북도 고령군 대가야읍 연조리 123번지 2호,경상북도 고령군 대가야읍 우륵로 35,40136.0,,2018-11-02,개인,545-31-00676, 
4,5,구분없음,제7조의3제2항에따른경우,관동구판장,경상북도 고령군 대가야읍 본관리 427번지 1호,경상북도 고령군 대가야읍 관동2길 14,40133.0,,2018-10-25,개인,818-12-00869, 
5,6,구분없음,제7조의3제2항에따른경우,구름점빵,경상북도 고령군 대가야읍 지산리 222번지 26호,경상북도 고령군 대가야읍 시장1길 10-7,40137.0,,2018-10-25,개인,873-09-00885, 
6,7,구분없음,제7조의3제2항에따른경우,공단편의점,경상북도 고령군 개진면 반운리 318번지 1호,경상북도 고령군 개진면 양전길 19,40145.0,,2018-10-24,개인,795-33-00538, 
7,8,구분없음,제7조의3제2항에따른경우,그린마트,경상북도 고령군 다산면 송곡리 1828번지,경상북도 고령군 다산면 다산산단로 149,40113.0,,2018-09-12,개인,733-36-00507, 
8,9,구분없음,제7조의3제2항에따른경우,은빛휴게소,경상북도 고령군 다산면 호촌리 358번지 28호,경상북도 고령군 다산면 사문진로 122,40102.0,,2018-08-20,개인,391-10-00958, 
9,10,구분없음,제7조의3제2항에따른경우,CU다산공단점,경상북도 고령군 다산면 송곡리 1623번지 1호,경상북도 고령군 다산면 성암로 456,40113.0,,2018-08-06,개인,271-65-00391, 
