순번,분류,상호명,대표자명,소재지,특화거리,영업시간,휴무일,좌석수,홈페이지,업체소개,주차정보,화장실정보,해당여부,,,,,,,,,,,,,,좌표,,대표음식 해당여부,,,,,,,,,,,,,주변분류,판매 메뉴
,,,,,,,,,,,,,무슬림친화,채식여부,안심식당,모범업소,장애인시설,외국어가능,조식가능,예약가능,유아시설,1인식사,포장가능,배달가능,와이파이사용,상품권사용,경도,위도,과메기,대게,등푸른막회,회/물회,백숙,산채비빔밥,삼겹살,생선구이,아구찜,장어,조개구이,치킨,해신탕,,
1,한식,효자착한장어,김지훈,경북 포항시 남구 효성로64번길 12 (효자동),,11:00~22:00,무휴,72석,,통영산 장어만을 이용한 장어와 더덕이 함께 어울어진 특화된 보양식,공용주차장,남녀분리,,,,,,,,y,,,y,,y,y,129.3404659,36.00492348,,,,,,,,,,y,,,,,"장어구이(1kg), 장어회(대), 장어회(중), 더덕구이(한접시), 장어탕, 산꼼장어(대), 산꼼장어(중), 산꼼장어(중), 산꼼장어(소), 카약(해삼,멍게,개불,전복,소라,가리비), 카약(해삼,멍게,개불,전복,소라,가리비,산낙지)), 해물칼국수, "
2,기타,과메기전문점,권선녀,"경북 포항시 남구 새천년대로474번길 14-4, 1층 (대잠동)",,10:00~18:00,연중무휴,4석,,"구룡포에서 가져오는 과메기이며 전국 어디에나 택배가 가능합니다
신선한 채소 넉넉한 양으로 단골 고객들이 많습니다
매실청으로 직접 담근 수제 초장맛이 새콤달콤해서 칭찬이 자자합니다
맛있고 신선한 과메기 잡수러 꼭 오세요",2대,남녀공용,,,,,,,,y,,,y,y,,y,129.3480472,36.01669596,y,,,,,,,,,,,,,,"과메기 , "
3,횟집,다락방,조순옥,경북 포항시 북구 양학천로 39,,17:00~02:00,겨울외에 휴무,테이블 14개,,과메기 전문횟집입니다 포항에는 유명한 음식이 과메기이지만 그중에서도 손꼽아 맛집이라고 추천하는 음식점입니다! 늦은시간 까지 영업하오니 들리셔서 맛보셔도 좋을거같습니다,가게앞 소규모 구비,남녀구분,,,,,,,,y,,y,y,y,y,y,129.356196,36.02269021,y,,,,,,,,,,,,,,"과메기, 통영생굴, 돼지두루치기, "
4,횟집,동남회식당,황보금숙,경북 포항시 북구 죽도시장길 36,,09:00~23:00,연중무휴,테이블 17개,,"대게를 중심적으로 판매하는 일반음식점입니다
박달대게를 다른음식점에 비해 저렴한가격으로 모시고있다고 사장님께서말씀하십니다 가끔 물회나 매운탕드시러 오셔도 좋은 음식점입니다",,남녀구분,,,,,,,,y,,,y,y,,y,129.3694302,36.03523591,y,y,,y,,,,,,,,,,,"동남 랍스타세트, 동남풀코스, 모듬회, "
5,,쌍둥이과메기,고보희,"경북 포항시 남구 상공로46번길 8, 1층 (대도동)",,09:00~23:00,연중무휴,테이블 1개,,"겨울철별미 과메기 포장 배달전문점입니다
신선한야채 쫄깃한 과메기를 맛보실수있습니다
전국택배가능하며 대량주문도가능합니다
",,남녀공용,,,,,,,,,,,y,y,y,y,129.3574415,36.01217581,y,,,,,,,,,,,,,,"청어과메기 야채셋트(소), 청어과메기 야채셋트(중), 청어과메기 야채셋트(대), 청어과메기 야채셋트(특대), "
6,물회,자연산횟집,서선이,경북 포항시 남구 구룡포읍 일출로62번길 9-17,,09:00~21:00,연중무휴,40석,,"<한국인의 밥상>, <사노라면> 등 방송매체에 여러 번 소개된 구룡포의 대표 맛집입니다.
저희의 고깃배로 직접 수확한 싱싱한 생물을 손님께 정성을 다해 차려 드립니다. 과메기, 오징어피데기, 가자미도 저희 집에서 많이 판매되는 상품입니다.",20,남녀구분,,,,,,,y,y,,y,y,,,y,129.5707896,36.00336405,y,y,,y,,,,,,,,,,,"대게/이시가리/전복회/오징어/ 해삼, 고급회/해산물모둠, 도다리/세꼬시/모둠회, 전복죽, 도다리물회/참가자미물회, 우럭매운탕, "
7,횟집,형제21번지,송성민,경북 포항시 남구 효자동길2번길 21,,10:00~22:00,일요일,32석,,"싱싱하고 맛있는 대게 및 과메기 번문점, 특별히 점심에 해물파스타를 제공합니다",공용,남녀구분,,,,,,,,y,,,y,,y,y,129.3325034,36.00843326,y,,,,,,,,,,,,,철길숲주변,"형제해물(중), 형제해물(대), 형제탕탕이(중), 형제탕탕이(대) , 산낙지 1마리, 자연산 멍게, 산낙지조개연포탕, 전복새우마늘버터구이, 새우마늘버터구이   , 고메기(중), 과메기(대)   , 크림파스타, 토마토파스타, 토마토 오일파스타, 매콤해장파스타, 로제파스타, 봉골레파스타, "
8,한식,G가휴게소식당,김종민,경북 포항시 북구 기계면 기계로 392,,08:00~20:00,"둘째, 넷째 월요일",테이블 15개,,우리 식당은 모든 음식이 다 맛있지만 특히 갈비탕이 맛있습니다. 소갈비로 맛있게 고은 국물은 맛이 일품입니다.,승용차 10대,남녀구분,,,,,,,,y,,,y,,,,129.1802428,36.08602095,,,,,,,,,,,,,,,"곰탕, 갈비탕, 도가니탕, 소고기국밥, 비빔밥, 칡 회냉면, "
9,횟집,갈릴리대게회식당,이경태,"경북 포항시 북구 죽도시장길 35, 1층 (죽도동)",,09:00~22:00,사장님의 사정에따라,테이블 20개,,"대게를 중심으로 판매하고 있는 음식점입니다
단체회식하기 좋은장소이며 넓은 공간에 좌석들이 충분히 완비되어있습니다  가족모임이나 단체로 가기좋은 맛집으로써 방문 좋을거 같습니다",,남녀 구분,,,,,,,,y,y,y,y,y,,y,129.3692416,36.03546515,,y,,y,,,,,,,,,,포항운하주변,"모듬회, 갈릴리스페셜, "
10,한식,"강구대게,홍게촌",김정숙,경북 포항시 남구 해동로 126 (해도동),,17:00~01:00,연중무휴,테이블 9개,,"대게를 전문적으로 판매하는 집입니다
오픈주방으로 직접 요리를 하는것을 볼 수 있으며, 위생적인 곳이라고 확인 하실수 있습니다
사장님의 서비스 또한 좋습니다 ",,남녀공용,,,,,,,,y,,,,,y,y,129.3716827,36.03049981,,y,,,,,,,,,,,,,"특대대게, 새우구이, "
11,한식,강변휴게식당,곽초희,경북 포항시 남구 효자로118번길 58 (효자동),,07:00~20:00,매주일요일,48석,,간단히 식사할 수있는 정식류,주변도로,남녀공용,,,,,,,,,,y,,y,,y,129.3340572,36.007717,,y,,,,,,,,,,,,,"정식, 김치찌게, 된장찌게, 비빔밥, 제육볶음, 동태찌게, 라면, 공기밥, "
12,,게스트,김소희,"경북 포항시 남구 오천읍 냉천로302번길 46, 1층",,11:00~21:00,매주일요일,40석,,"갈비탕, 갈비찜 직접 삶아서 사용하며, 어떤음식이든 미리 예약을 하시는 분들은 원하시는 음식을 제공해 드리며, 김치는 직접 담아 정성스럽게 대접합니다",주변도로,"남녀공용, 장애우화장실없음",,,,,,,,y,,y,y,y,y,y,129.4045428,35.967702,,y,,,,,,,,,,,,,"우럭쌈밥, 묵밥, 동태탕/갈비탕, 김치황태탕/황태탕, 김치찌개, 얼큰해장라면, 누룽지탕, 삼겹살(200g), 고.삼(160g), 삼겹김치찜, 모듬감자튀김, 왕새우/고추튀김, 어묵탕, 김치전, 갈비찜, 문어초무침, 계란말이, 바삭황태구이, 쥐포와 친구들, 계란탕/물만두, 계란후라이, 견과요/아이스황도, "
13,,게와돼지,김기용,"경북 포항시 남구 오천읍 원동로 75-10, 1층",,17:00~24:00,연중무휴,40석,,메뉴가 그때그때바뀐다 . 해산물전문,3대,"남녀공용, 장애우화장실 없음",,,,,,,,y,,,y,y,y,y,129.4014872,35.96996795,,y,,,,,,,,,,,,,"도루묵찌개, 굴보쌈, 참소라회, 생굴, 과메기, 양미리/새우튀김, 백고동, 두루치기, 닭도리탕, 가지미구이, 굴전, 낙지볶음, "
14,기타,기계휴게소,김명애,경북 포항시 북구 기계면 새마을로 1406,,09:00~20:00,휴무연중무휴,테이블 4개,,"주유소 옆에 조그마한 간이 휴게소.
기름 넣으면서 필요한 물건 있으면 구입할 수 있음.",승용차 5대,,,,,,,,,,,,,,,,129.2293753,36.0626842,,,,,,,,,,,,,,,"라면, 컵라면, "
15,기타,꼭두방재휴게소내식당,이상화,"경북 포항시 북구 죽장면 새마을로 4590, 1층",,09:00~19:00,연중무휴,테이블 12개,,"산 풍경이 좋은 꼭두방재 휴게소 내 식당
다양한 분식 메뉴 판매
2인 이상 같은 메뉴 가능",휴게소주차장 완비,남녀구분,,,,,,,,,,,y,,,y,129.0551955,36.22267213,,,,,,,,,,,,,,,"어묵탕, 김밥, 라면, 우동, 칼국수, 콩국수, "
16,횟집,달인회대게,김형록,경북 포항시 북구 죽도시장길 38-3 (죽도동),,09:00~23:00,연중무휴,테이블 10개,,"죽도시장 내에서 운영하고있는 횟집입니다
술안주용으로도 좋지만 가볍게 식사하고 갈수있는 편안한 곳입니다. 좌석도 널널하고 신선한 회를 맛보실수있습니다",죽도시장내에 공용주차장이용 ,남녀공용,,,,,,,,y,,y,y,y,y,y,129.3696731,36.03536454,,y,,y,,,,,,,,,,,"붉은대게, 물회, 모듬회, "
17,물회,대게닷컴식당,김문숙,경북 포항시 남구 구룡포읍 호미로 148,구룡포대게거리,08:00~21:00,연중무휴,80석,,"대게 살이 없으면 100% 환불. 품질에 대한 무한 책임을 원칙으로 20년 동안 대게 전문점을 운영 중입니다. 
손님 상에 오르는 각종 채소는 대게 껍데기를 비료로 해서 직접 재배한 것입니다. 
속이 꽉 찬 고수율의 대게는 기본. 곁들이는 음식 하나하나까지 손님의 건강을 위하는 맘으로 준비합니다. 
그 동안 손님께서 저희에게 주신 믿음과 성원에 감사드리며 앞으로도 한결같은 서비스와 품질로 보답하겠습니다.","관광버스 10대, 승용차 100대",남녀구분,,,y,,,,,y,,y,y,y,y,y,129.5487699,35.98577503,,y,,y,,,,,,,,,,,"국내산대게/붉은대게, 러시아대게/킹크랩, 박달대게/랍스타, 물회, 회덮밥, "
18,횟집,돌풍대게,좌명숙,"경북 포항시 남구 구룡포읍 용주로8번길 21, 1층~2층",,09:00~21:00,연중무휴,40석,,"대게, 성게알 모두 도.소매 판매.  해녀인 주인이 직접 채취한 해산물이라 모두 인기가 많으며 특히 성게비빔밥은 한 번 드시면 또 찾게 되는 별미 중의 별미입니다.
저희가 직접 잡은 문어, 군소, 해삼을 드시기 위해 멀리서도 단골손님이 오십니다. 생물 외 신선한 생물로 만든 각종 건어물도 품질이 매우 우수해서 찾는 분이 많습니다.",7대,남녀구분,,,,,,,y,y,,y,y,y,y,y,129.5649833,35.99177866,y,y,,,,,,,,,,,,,"대게, 성게알, 문어/군소 해삼, 과메기, "
19,횟집,등대지기,손문숙,경북 포항시 남구 호미곶면 해맞이로150번길 20-7,,09:00~22:00,연중무휴,테이블 16개,,"호미곶에서 가장 메뉴가 다양한 호미곶 등대지기횟집
다양한 대게를 판매하는 음식점
포항 특미 모리국수 판매 음식점
",소형주차장 완비,남녀공용,,,,,,,,y,,,y,,,y,129.5669517,36.07753803,y,y,,y,,,,,,,,,,,"국산박달/수입박달, 연안대게/홍게박달, 킹크랩/너도게, 대게라면, 대게/홍게살비빔밥, 대게,홍게탕, 자연산, 모듬회, 해물모듬, 일반물회/횟밥, 모리국수, 전복/소라죽, "
20,횟집,막썰어회대게,임근택,"경북 포항시 북구 청하면 청하로200번길 4, 가동 101호",,08:00~20:00,연중무휴,테이크아웃전문점,,우리 식당은 테이크아웃전문점입니다.,청하시장주차장 승용차 40대,남녀공용,,,,,,,,,,,y,,,,129.3396614,36.19707466,,y,,y,,,,,,,,,,,"광어, 우럭, 도다리, 아나고, 구이용, "
21,기타,보경사휴게소,지미희,"경북 포항시 북구 송라면 동해대로 2829, 1층",,08:00~20:00,휴무 연중무휴,테이블 20개,,"우리 식당은 스넥코너와 편의점, 커피숍이  식당내에 있으며 모든 편의 시설을 갖추고 있는 휴게소입니다.
오전엔 기사분들이 많이 오가며 저녁엔 주위 골프 손님들이 많이 찾아 주십니다.
음악을 들으며 커피 한잔의 여유를 즐길 수 있는 식당입니다. 
우리 휴게소 식당의 또 하나의 볼거리는 유럽 수입 앤틱실이 있어서 유럽 여러나라의 골동품을 한 눈에 볼 수 있으며, 판매도 가능하니 많이 구경 오세요.",승용차 40대,남녀구분,,,,,,,,,,y,,,y,,129.3541997,36.21854761,,y,,,,,,,,,,,,,"돌솥육계장, 불고기뚝배기, 새우볶음밥, 스페셜어묵우동, 등심돈까스, 부대찌개라면, 어묵꼬지탕, "
22,기타,보드게임카페 어콰이어,김현지,"경북 포항시 북구 중앙상가길 13, 2층 (대흥동)",,14:00~23:00,연중무휴,테이블 13개,,보드게임과 간단한 간식거리와 음료를 판매하고있습니다 넓고 세련된 인테리어와 2층으로된 룸은 다락방같은 뷰위를 연출하고있습니다 방역 철저히하고있으며 내집같이 편안하게 쉬어 가실수있는 곳입니다,,남녀구분,,,,,,,,y,,y,,,y,y,129.3624634,36.03672493,,,,,,,,,,,,,,,"아메리카노, 카페라떼.바닐라라떼.아인슈페너, 카페라떼.바닐라라떼.아인슈페너, 카라멜마끼야또.카페모카.돌체라떼.달고나라떼.아포카토, 레몬.자몽.청포도.오렌지.화이트피치, 방앗갓미숫가루.리얼초코.밀크티, 아이스티.얼그레이.캐모마일.페퍼민트, 플레인.딸기.블루베리, 감자튀김, 치즈스틱, 순살치킨, 아이스크림초코와플, 플레인핫도그.래리쉬핫도그.치즈핫도그.갈릭핫도그, 뉴욕칠리핫도그.바베큐핫도그.칠리치즈핫도그, 소불고기.불갈비핫도그, "
23,물회,사계절구룡포대게,서정숙,"경북 포항시 남구 구룡포읍 호미로 168-1, 1층",구룡포대게거리,09:00~21:00,매월 셋째주 월요일(10월~3월 무휴),90석,,"대게만을 전문적으로 취급하는 진짜 대게 전문점. 
무, 배추,고구마 등 대게와 함께 올리는 거의 모든 음식은 직접 농사지은 작물로 저희가 직접 장만합니다.  기타 재료도 국산만 사용합니다.
전 직원이 모두 가족이어서 질 좋은 서비스를 제공하여 높은 고객만족도를 보입니다.
위생과 보건안전에 모범이 되는 업소로 매일 소독은 기본, 식사후 소독도 철저히 합니다. 제도적 기준보다 더 엄격한 기준을 적용해 예방적 차원에서 휴업을 하기도 합니다.
이윤보다 손님의 건강과 안전을 항상 먼저 생각하며 운영합니다. 저희를 믿고 안심하고 식사하실 수 있도록 늘 노력하겠습니다.",8대,남녀구분,,,y,,,,,y,,,y,,y,y,129.5507055,35.98700008,,y,,,,,,,,,,,,,"대게, 대게탕, 게장볶음밥, "
24,한식,서산돌게장백반,장지순,"경북 포항시 북구 동빈로 23-2 (여천동,(1층))",,09:00~21:00,연중무휴,테이블 10개,,"6시내고향 방송에도 나오며 맛집으로 인증 받은 가게입니다
전국으로 택배배송하여 파매도 하고 있으며 단체손님도 받을수있습니다
깔끔한 인테리어와 분위기에 맛 또한 좋아 가족과 함께오기 좋은 곳입니다 
안심식당으로 등록되어 있는 곳입니다",10대 가능,남녀구분,,,y,,,,,y,,,y,,y,y,129.3685458,36.03924333,,y,,,,,,,,,,,,,"꽃게간장게장, 돌게양념게장, 돌게간장게장, 꽃게살비빔밥, 소갈비찜, "
25,물회,아라회대게,탁성룡,경북 포항시 남구 구룡포읍 호미로 261,,09:00~22:00,연중무휴,60석,,"동해안에서 오는 신선한 해산물이 총 집합.  맛있는 요리가 되는 맛집.
동해안의 싱싱한 제철 잡어, 자연산 미역을 포함해 지역 농수산물로 차려지는 곁들이.
구룡포가 자랑하는 대게, 오징어, 꽁치, 과메기 등 맛과 가격면에서 수산물 산지의 특혜를 저희집에서 누려 보시기 바랍니다.",공영주차장(무료),남녀구분,,,y,y,,y,y,y,,y,y,y,y,y,129.5588606,35.99121828,y,y,,y,,,,,,,,,,,"자연산회, 모둠회(우럭,광어), 오징어/돔.민어.농어, 물회/회덮밥, 대게탕, 고래수육, "
26,횟집,연다라횟집,강매자,경북 포항시 북구 죽도시장길 36,,09:00~22:00,연중무휴,테이블 21개,,"여러가지 물회를 판매하고있는 죽도어시장 내에있는 횟집입니다 뿐만아니라 도다리와 여러 잡어회, 모듬회를 판매하고있습니다 한번 들려보셔서 편안한분위기에 맛보셔도 좋을듯합니다 또한 대게철인 요즈음 대게메뉴도 개별적으로 게시되어있습니다",,남녀구분,,,,,,,,y,,y,y,y,,y,129.3694302,36.03523591,y,y,,,,,,,,,,,,,"모듬회, 도다리, 광어/돔/농어, 해물모듬, "
27,기타,연일 휴게실,정희윤,경북 포항시 남구 연일읍 연일로159번길 14,,17:00~02:00,일요일 휴무,테이블 12개,,식당이 8년됬고 서비스가 좋은 식당입니다,주차장,남녀구분,,,,,,,,y,,,y,,y,y,129.3452849,35.99645029,,,,,,,,,,,,y,,,"시골닭, 후라닭, 양념닭, 마늘닭, 고추닭, 반반닭, 마고닭, "
28,횟집,영광회대게센타,송소영,경북 포항시 북구 죽도시장길 34 (죽도동),,10:00~22:00,연중무휴 ,테이블 15개,,"홍게와 대게 스페셜 메뉴가 구분되어있는 횟집입니다
새우찜이나 해산물모듬을 원하시는 분들도 오셔서 드시기에 적합한 장소라고도 생각이듭니다 물론 혼자오신분들도 물회와 알밥을 드시러오는경우도 종종있다고 하는데 지나가시다가 식사하러 오시면 좋을듯합니다",,남녀구분,,,,,,,,y,,y,y,,y,y,129.3692314,36.03516884,,y,,y,,,,,,,,,,,"홍게스페셜, 대게스페셜, 모듬회(자연산), 랍스타, "
29,기타,오이소 홍게 무한리필,김윤정,"경북 포항시 남구 문예로 137, 1동 1층 103호 (해도동)",,12:00~22:00,연중무휴,테이블 9개,,"홍게를 무한리필로 드실수 있는곳입니다
신선한 게로 볶음요리를 해주어 더욱 맛이 좋습니다
사장님이 홍게를 마음껏 드실수 있게 편안하게 해드립니다",,남녀공용,,,,,,,,y,,,y,y,y,y,129.3688603,36.01816664,,y,,,,,,,,,,,,,"홍게무한리필, 원조게장비빔밥, "
30,,왕돌초게장,"김희영, 김삼영","경북 포항시 남구 오천읍 남원로 8, 1층",,12:00~20:30,연중무휴,48석,,"TV에 방송될 정도로 싱싱한 게를 저렴하게공급,  Tv에 나온 이후에도 변하지 않고 정직하게 영업하여 방송국 특집으로 다시 방송할 정도로 믿을 수 있는 곳
중간유통과정없어  싱싱한 게를 저렴하게 즐길 수 있는 가성비 좋은 집",2대. 주변도로,"남녀공용, 장애우 화장실 없음",,,,,,,,,,,,,,,129.4090016,35.97107863,,y,,,,,,,,,,,,,
