업소명,영업시작일,소재지,음식의유형,주취급음식명,최초지정일자,전화번호
(주)큰길함안(순천방향)휴게소,2011-06-08,경상남도 함안군 군북면 현포로 205-1,한식,한식,2009-07-31,055-582-2192
(주)큰길함안(부산방향)휴게소,2015-08-07,경상남도 함안군 군북면 현포로 205,한식,순두부찌게,2011-12-28,055-582-2191
조신한촌돼지,1984-08-06,경상남도 함안군 칠북면 칠북로 35,한식,"돼지불고기,냉면",2005-07-04,055-587-4411
칠서 사철 박경순 냉면,2011-12-12,경상남도 함안군 칠서면 청계리 704  ,한식,냉면,2001-08-08,055-587-2830
신풍식육식당,2007-09-10,경상남도 함안군 법수면 석무길 130,한식,한식,2009-07-31,055-584-2055
부경갈비,1988-02-19,경상남도 함안군 칠북면 온천로 47,한식,불고기,2001-08-08,055-587-4300
대밭회센타,1989-07-04,"경상남도 함안군 칠서면 계내리 1141-1 외2필지(1,2층) ",한식,"민물회, 장어구이",2006-06-29,055-587-7162
법성가든식당,2016-05-02,경상남도 함안군 법수면 법수로 593,한식,추어탕,2006-06-29,055-584-3272
부강식당,1994-01-04,경상남도 함안군 군북면 지두2길 18,한식,불고기,2001-08-08,055-585-7126
나룻터가는길,2005-04-26,경상남도 함안군 법수면 주물리 405 - 8  ,한식,민물장어,2009-07-31,055-582-4561
전원초밥,2008-03-10,경상남도 함안군 칠원읍 경남대로 1823,일식,일식,2009-07-31,055-587-1377
야촌원두막,1996-04-10,경상남도 함안군 칠원읍 야촌1길 16,한식,추어탕,2010-09-27,055-587-8866
아라정,2004-08-09,경상남도 함안군 가야읍 가야로 60,한식,소불고기,2006-06-29,055-583-5596
맛고을한우마당,2002-10-31,경상남도 함안군 산인면 함마대로 1814,한식,정식,2003-07-21,055-583-2684
가야정,2008-05-29,경상남도 함안군 가야읍 말산2길 29,한식,소.돼지고기,2009-07-31,055-582-5296
고명갈비,2017-02-21,경상남도 함안군 가야읍 중앙남3길 30 (외1필(1층)),횟집,바다회,2004-07-01,055-585-0174
너와촌,2006-10-31,경상남도 함안군 칠서면 공단상가3길 40,한식,한식,2009-07-31,055-586-0120
본가삼계탕,2000-08-29,경상남도 함안군 산인면 신산로 224,한식,삼계탕,2001-08-08,055-582-6464
요리성,2018-05-09,경상남도 함안군 칠원읍 성내길 91,중식,짜장면,2011-12-28,055-586-1877
솔밭가든,2000-12-22,경상남도 함안군 법수면 법수로 492,한식,불고기,2002-04-10,055-582-3240
국보삼계탕,2001-10-11,경상남도 함안군 산인면 산인로 333 (외 1필지),한식,국보삼계탕,2002-04-10,055-585-7383
명문가든,2017-12-20,"경상남도 함안군 군북면 월촌로 210, 1,2동 1층",한식,영양돌솥밥,2009-07-31,055-583-2088
서울복집,2009-11-25,경상남도 함안군 가야읍 중앙본길 30,한식,"복국, 복수육",2011-12-28,055-585-5432
토담골,2003-01-02,경상남도 함안군 산인면 함마대로 2291,한식,버섯전골,2009-07-31,055-583-8225
중화루자금성,2015-10-02,경상남도 함안군 가야읍 함마대로 1510,중식,"짬뽕, 깐풍기",2011-12-28,055-583-1711
통뼈감자탕(삼칠점),2017-10-31,경상남도 함안군 칠원읍 경남대로 1763,한식,감자탕,2009-07-31,055-587-7700
통마루,2004-04-29,"경상남도 함안군 칠서면 대치리 315-2 (1,2층) ",한식,"갈비찜,떡갈비",2005-07-04,055-586-0110
낙동강 칠백리,2007-12-24,경상남도 함안군 칠서면 용성리 864-11  ,한식,정식,2012-11-29,055-587-5233
금상첨화,2018-07-26,경상남도 함안군 대산면 대산중앙로 250,한식,소갈비찜,2006-06-29,055-583-9988
미가찜,2011-01-18,"경상남도 함안군 가야읍 말산1길 23, 1층",한식,아구찜,2009-07-31,055-585-0558
산수정,2015-10-08,경상남도 함안군 가야읍 말산로 96,한식,생선국,2006-06-29,055-583-0350
양평해장국(군북점),2014-01-29,경상남도 함안군 군북면 함마대로 850,한식,보쌈,2012-11-29,055-585-3378
마당쇠 돼지순대국밥,2010-04-08,경상남도 함안군 칠원읍 구성리 664-1  ,한식,"돼지국밥, 수육",2011-12-28,055-587-9989
어화 사랑채,2009-04-15,경상남도 함안군 여항면 진함로 943,한식,정식,2010-09-27,055-585-9252
마당국밥,2012-08-02,경상남도 함안군 가야읍 함안대로 502 ((1층)),한식,돼지국밥,2012-11-29,055-585-3507
은하수생고기,2010-03-04,경상남도 함안군 가야읍 중검길 75,한식,"영양돌솥밥, 소고기스페셜",2012-11-29,055-585-9848
황토복집,2007-03-20,경상남도 함안군 군북면 지두3길 6,한식,복국,2009-07-31,--
자연산횟집,2010-07-01,경상남도 함안군 가야읍 중앙본길 12,횟집,생선회,2011-12-28,055-585-5757
오리야 돼지야,2007-08-28,경상남도 함안군 칠서면 칠평로 69,한식,순두부찌게,2011-12-28,055-587-0205
양평해장국,2011-07-21,경상남도 함안군 산인면 함마대로 2280,한식,"한방갈비찜, 양평해장국",2012-11-29,055-582-2030
고려미당 언양석쇠불고기,2014-10-07,경상남도 함안군 산인면 산인로 174,한식,언양석쇠불고기,2015-12-02,055-582-0560
식객,2008-07-15,경상남도 함안군 여항면 내곡리 596-37  ,한식,유황녹차오리구이,2010-09-27,055-582-8899
함안축협 한우프라자 삼칠점,2009-08-26,경상남도 함안군 칠원읍 용산리 36 - 12 외 3필지 ,한식,한식,2009-07-31,055-586-7992
이열치열옛날양푼이동태찌게,2008-08-29,경상남도 함안군 칠원읍 구성리 625-1  ,한식,동태찌개,2009-07-31,055-586-2662
천안문,2017-08-14,경상남도 함안군 칠원읍 경남대로 1514,중식,손짜장,2014-11-05,055-586-7425
대어회초밥,2009-09-25,경상남도 함안군 칠원읍 구성리 665-3 외2필지(1층) ,일식,초밥,2010-09-27,055-586-1189
큰손짜장,2017-06-01,경상남도 함안군 칠서면 삼칠로 555,중식,짬뽕,2012-11-29,055-587-6655
판문점숯불갈비,2011-08-18,경상남도 함안군 칠서면 공단상가3길 24 (1층),한식,돼지숯불갈비,2013-11-26,055-587-8692
아라곰탕,2012-06-26,경상남도 함안군 가야읍 말산로 101,한식,곰탕,2012-11-29,055-582-6466
가야숯불구이,2012-10-17,경상남도 함안군 가야읍 말산로 15,한식,"소고기구이, 갈비탕",2013-11-26,055-583-8878
참하누,2013-04-26,경상남도 함안군 칠원읍 송평로 480,한식,소고기 구이,2014-11-05,055-232-6292
돈오박,2013-06-19,경상남도 함안군 대산면 대산중앙4길 77-1,한식,오리불고기,2015-12-02,055-582-5288
비룡,2018-03-13,경상남도 함안군 군북면 함마대로 366,중식,"짜장, 짬뽕",2014-11-05,055-582-8832
놀부보쌈부대찌개함안점,2015-03-24,"경상남도 함안군 가야읍 성내남길 7-8, 2층",한식,"보쌈, 부대찌개",2014-11-05,055-582-5382
풍성한 밥상,2014-05-21,경상남도 함안군 칠원읍 용산1길 10,한식,한식뷔페,2016-12-01,055-587-5018
강호맛족(함안점),2016-06-21,경상남도 함안군 가야읍 가야로 109,한식,족발,2016-12-01,055-585-6669
