연번,구분,업소명,영업자성명,소재지,소재지전화번호,업태명,주된음식,재지정여부
1,모범음식점,나들길,하향례,경상남도 남해군 삼동면 동부대로 1868,055-867-3421,한식,"멸치쌈밥, 멸치회",Y
2,모범음식점,남해 대청마루,최열아,경상남도 남해군 삼동면 동부대로 1293, 055-867-0248,한식,"연잎밥, 대통밥",Y
3,모범음식점,남해 사랑채,장종선,"경상남도 남해군 이동면 남해대로1567번길 12, 2층",055-863-5244,한식,멸치쌈밥,Y
4,모범음식점,남해 어부림,문복임,"경상남도 남해군 삼동면 동부대로 1126 (1동(2층),2동(1층))",055-867-5558,한식,멸치쌈밥,Y
5,모범음식점,남해고기국수,김봉임,"경상남도 남해군 삼동면 삼이로 32, 2층",055-867-1114,분식,"고기국수, 멸치쌈밥",N
6,모범음식점,남해암소한마당,하세길,경상남도 남해군 이동면 강진만로 200-6,055-863-9999,식육(숯불구이),소고기,Y
7,모범음식점,남해향촌,김말숙,경상남도 남해군 삼동면 동부대로 1278,055-867-7791,한식,"멸치쌈밥, 두부",Y
8,모범음식점,단학횟집,김은영,"경상남도 남해군 창선면 동부대로2964번길 49-3 (외2필지(11-1,1072-4) 1,2층)",055-867-7220,횟집,"생선회, 매운탕",Y
9,모범음식점,대구횟집,김미연,경상남도 남해군 설천면 노량로183번길 20, 055-862-3747,횟집,"생선회,매운탕",Y
10,모범음식점,만복초밥,김숙자,경상남도 남해군 남해읍 화전로38번길 25-1, 055-864-6801,일식,"생선회,초밥",Y
11,모범음식점,물회2018활어판매장,박철완,경상남도 남해군 삼동면 동부대로 1785,055-862-2018,일식,"활어회, 물회, 전복죽",Y
12,모범음식점,미소담,신은숙,경상남도 남해군 남해읍 화전로 152, 055-864-1655,한식,"보쌈,생선구이",Y
13,모범음식점,바다향기회센타,김미애,"경상남도 남해군 미조면 미조로 2 ((1,2층))", 055-867-4447,횟집,생선회,Y
14,모범음식점,박가부대찌개,김진아,경상남도 남해군 남해읍 남해대로 2770, 055-862-5594,한식,부대찌개,Y
15,모범음식점,보물성횟집,강선희,경상남도 남해군 미조면 미송로 40 (외1필지(105-22) 1층), 055-867-8566,횟집,"생선회,물회",Y
16,모범음식점,산마루가든,최정심,경상남도 남해군 고현면 화방로 332-7, 055-862-3004,한식,"백숙(오리,닭)",Y
17,모범음식점,상주바다횟집,김영대,경상남도 남해군 상주면 남해대로675번길 75, 055-863-5226,횟집,생선회,Y
18,모범음식점,생선횟집,김은경,경상남도 남해군 설천면 노량로183번길 22, 055-862-2627,횟집,"생선회, 매운탕",Y
19,모범음식점,수정숯불갈비,박금란,경상남도 남해군 창선면 창선로66번길 6-11, 055-867-4416,식육(숯불구이),"한정식, 영양돌솥밥, 창선고사리 육개장",Y
20,모범음식점,오륙도회센타,박미업,경상남도 남해군 미조면 미송로 38, 055-867-5699,횟집,생선회,Y
21,모범음식점,용궁정숯불갈비,서봉순,경상남도 남해군 이동면 무림로 89-12, 055-863-0229,식육(숯불구이),"생고기, 돼지갈비",Y
22,모범음식점,이화원,정은숙,경상남도 남해군 상주면 상주로74번길 3-4,055-863-1101,중국식,"탕수육, 짜장면, 짬뽕",Y
23,모범음식점,재두식당,박미정,경상남도 남해군 상주면 남해대로 918-6,055-862-6022,한식,정식,Y
24,모범음식점,전망대횟집,김성애,경상남도 남해군 남면 남서대로 1379, 055-863-5703,횟집,생선회,Y
25,모범음식점,제일횟집,지순연,경상남도 남해군 설천면 노량로183번길 10, 055-862-2484,횟집,"생선회,회덮밥",Y
26,모범음식점,좋은인연,문향자,경상남도 남해군 남해읍 망운로 7, 055-863-1213,분식,"돈가스, 칼국수",Y
27,모범음식점,철따라맛따라 남해어장횟집,강창남,경상남도 남해군 상주면 남해대로675번길 76,055-863-0166,횟집,"장어구이,멍게비빔밥",Y
28,모범음식점,청정횟집,정진행,경상남도 남해군 설천면 노량로183번길 18,055-862-7888,한식,생선회,N
29,모범음식점,촌놈횟집,이정희,경상남도 남해군 미조면 미조로 22, 055-867-4977,횟집,"생선회,매운탕",Y
30,모범음식점,파도횟집,오상달,경상남도 남해군 이동면 남해대로 1588, 055-862-0710,횟집,"생선회, 매운탕",Y
31,모범음식점,팔도 전복죽· 해물,안소영,경상남도 남해군 미조면 미송로 54,055-867-4475,한식,"전복죽, 해물전골",Y
32,모범음식점,풍운정,채성운,"경상남도 남해군 삼동면 동부대로 1587, 2층",055-867-0204,한식,"생선구이정식, 멸치쌈밥",Y
33,모범음식점,하나로횟집,하남철,경상남도 남해군 상주면 상주로 12-6, 055-862-2166,횟집,생선회,Y
34,모범음식점,햇살복집,전미아,경상남도 남해군 삼동면 동부대로 1043, 055-867-1320,복어취급,"쫄복탕, 복국",Y
