업종명,업소명,소재지,소재지전화
일반음식점,의성해물찜,경상북도 문경시 매봉2길 27 (모전동),054-556-8999
일반음식점,투가리분식,경상북도 문경시 모전로 54 (모전동),054-552-2516
일반음식점,등대회집,경상북도 문경시 운동장로 38 (모전동),054-553-2266
일반음식점,호수식당,경상북도 문경시 동로면 여우목로 2792,054-000-0000
일반음식점,시장식육식당,경상북도 문경시 동로면 여우목로 2790-1,054-552-8168
일반음식점,돌마리식당,경상북도 문경시 동로면 벌재장터길 1,054-552-8127
일반음식점,진남오리,경상북도 문경시 마성면 진남1길 183,054-553-5758
일반음식점,새수림매운탕,경상북도 문경시 마성면 진남3길 7-9,054-552-9886
일반음식점,진남휴게소,경상북도 문경시 마성면 문경대로 1356,054-572-1211
일반음식점,초연식당,경상북도 문경시 농암면 청암2길 19-3,054-571-3038
일반음식점,동원식당,경상북도 문경시 농암면 농암길 49,054-571-2936
일반음식점,고향식당,경상북도 문경시 농암면 농암길 39,054-571-3388
일반음식점,진미식당,경상북도 문경시 농암면 청암2길 14,054-571-3342
일반음식점,페리카나양념치킨농암점,경상북도 문경시 농암면 청암2길 10,054-571-3020
일반음식점,문영집,경상북도 문경시 가은읍 대야로 2519-2,054-000-0000
일반음식점,멕시카나가은점,경상북도 문경시 가은읍 대야로 2436,054-571-9333
일반음식점,경은식당,경상북도 문경시 가은읍 대야로 2515,054-571-8633
일반음식점,시골맛집,경상북도 문경시 가은읍 양산개5길 1,054-571-2277
일반음식점,털보식육식당,경상북도 문경시 산양면 불암2길 16,054-552-3721
일반음식점,상주식당,경상북도 문경시 산양면 불암2길 1,054-553-5702
일반음식점,송정식당,경상북도 문경시 호계면 호계길 6,054-552-4879
일반음식점,시골집,경상북도 문경시 호계면 별암아랫길 13,054-000-0000
일반음식점,호경식당,경상북도 문경시 호계면 막곡장터길 15,054-552-8528
일반음식점,김천식당,경상북도 문경시 산북면 김용길 297,054-552-6943
일반음식점,아천교회집,경상북도 문경시 산북면 운달로 55,054-553-8584
일반음식점,이쁜이식당,경상북도 문경시 문경읍 새재로 458-10,054-000-0000
일반음식점,동그라미스넥,"경상북도 문경시 문경읍 문희로 26-1, 1층",054-571-0256
일반음식점,문경식당,경상북도 문경시 문경읍 하리 88,054-571-0627
일반음식점,둘리식당,경상북도 문경시 문경읍 청운로 74,054-571-4614
일반음식점,황토성,경상북도 문경시 문경읍 새재2길 18,054-571-7777
일반음식점,원정식당,경상북도 문경시 문경읍 주흘1길 16,054-571-9293
일반음식점,당포식당,경상북도 문경시 문경읍 주흘로 40,054-572-1444
일반음식점,새재식당,경상북도 문경시 문경읍 주흘1길 21,054-571-3766
일반음식점,영흥반점,경상북도 문경시 상신로 6-1 (점촌동),054-555-2670
일반음식점,상주식당,경상북도 문경시 점촌동 158,054-555-4473
일반음식점,동승반점,경상북도 문경시 신흥로 133 (점촌동),054-000-0000
일반음식점,옥노반점,경상북도 문경시 점촌로 16 (점촌동),054-555-6405
일반음식점,꽃밭식당,경상북도 문경시 중앙7길 10-8 (점촌동),054-555-3677
일반음식점,오복식당,경상북도 문경시 중앙7길 8 (점촌동),054-555-2970
일반음식점,현대순대,경상북도 문경시 중앙6길 17 (점촌동),054-553-3716
일반음식점,만나분식,경상북도 문경시 가은읍 왕능리 397-78,054-000-0000
일반음식점,황금식당,경상북도 문경시 남부4길 32 (모전동),054-555-4503
일반음식점,기린식당,경상북도 문경시 상신로 65 (모전동),054-555-2942
일반음식점,청기와식당,경상북도 문경시 신흥3길 13 (흥덕동),054-000-0000
일반음식점,북경반점,경상북도 문경시 중앙로 234-1 (흥덕동),054-555-2472
일반음식점,해동짬뽕전문점,경상북도 문경시 산양면 상무로 801,054-555-6867
일반음식점,경미식당,경상북도 문경시 흥덕로 12 (흥덕동),054-555-9898
일반음식점,맛나식당,경상북도 문경시 흥덕로 12 (흥덕동),054-552-8623
일반음식점,새호정반점,경상북도 문경시 신흥3길 13 (흥덕동),054-552-8954
일반음식점,복감자탕,경상북도 문경시 중앙로 169-1 (흥덕동),054-552-0329
일반음식점,대광식당,경상북도 문경시 당교2길 23 (모전동),054-552-2655
일반음식점,만리성,경상북도 문경시 신흥로 1-2 (모전동),054-555-6946
일반음식점,남부순대,경상북도 문경시 신흥로 1-3 (모전동),054-555-7038
일반음식점,그린가든,경상북도 문경시 호서로 55 (점촌동),054-554-0012
일반음식점,래동식당,경상북도 문경시 모전로 54 (모전동),054-552-2551
일반음식점,금호반점,경상북도 문경시 상신로 69 (모전동),054-553-5421
일반음식점,시청구내식당,경상북도 문경시 당교로 225 (모전동),054-550-6229
일반음식점,흥덕반점,경상북도 문경시 호서로 98 (흥덕동),054-555-5127
일반음식점,문경중학교구내식당,경상북도 문경시 신흥7길 9-19 (흥덕동),054-553-8617
일반음식점,경천호회집,"경상북도 문경시 동로면 금천로 1442, 경천횟집",054-554-0683
일반음식점,대성식당,경상북도 문경시 마성면 구랑2길 15,054-571-1722
일반음식점,흑룡성,경상북도 문경시 농암면 농암4길 6-1,054-571-2382
일반음식점,대구식당,경상북도 문경시 농암면 한우물길 6,054-571-2269
일반음식점,함박골가든,경상북도 문경시 가은읍 함박골길 11,054-571-9171
일반음식점,산양식육식당,경상북도 문경시 산양면 불암2길 3,054-553-8301
일반음식점,순복이네식당,경상북도 문경시 신흥5길 8 (흥덕동),054-556-5888
일반음식점,시장순대,경상북도 문경시 문경읍 주흘로 31,054-572-2816
일반음식점,상주식당,경상북도 문경시 신기3길 6 (신기동),054-000-0000
일반음식점,경북식당,경상북도 문경시 유곡불정로 141 (유곡동),054-553-6742
일반음식점,중앙시장순대,경상북도 문경시 중앙시장1길 4-20 (점촌동),054-553-5570
일반음식점,고기나라참숯구이,경상북도 문경시 중앙9길 9 (점촌동),054-556-7838
일반음식점,지영식당,경상북도 문경시 중앙3길 14 (점촌동),054-000-0000
일반음식점,제일반점,경상북도 문경시 영신로 9-1 (점촌동),054-555-2243
일반음식점,문경공업고등학교구내식당,경상북도 문경시 영신로 65 (점촌동),054-000-0000
일반음식점,토스트앤커피,경상북도 문경시 반쟁이3길 32 (모전동),054-000-0000
일반음식점,점촌통닭,경상북도 문경시 중앙2길 18-7 (점촌동),054-555-4605
일반음식점,삼일식당,경상북도 문경시 중앙시장1길 2-47 (점촌동),054-555-2822
일반음식점,지구촌식당,경상북도 문경시 점촌로 18-1 (점촌동),054-000-0000
일반음식점,삼삼숯불촌,경상북도 문경시 중앙7길 48 (점촌동),054-000-0000
일반음식점,이정표식당,경상북도 문경시 호서로 32 (점촌동),054-555-3969
일반음식점,문창반점,경상북도 문경시 호서로 32-1 (점촌동),054-555-3285
일반음식점,진미식당,경상북도 문경시 중앙6길 19 (점촌동),054-555-5535
일반음식점,미조리식당,경상북도 문경시 중앙9길 10 (점촌동),054-552-3667
일반음식점,예전식당,경상북도 문경시 중앙7길 29-1 (점촌동),054-553-2374
일반음식점,강남식당,경상북도 문경시 호서로 33-1 (점촌동),054-552-3047
일반음식점,은하식당,경상북도 문경시 호서로 31 (점촌동),054-552-2391
일반음식점,안주일번지,경상북도 문경시 상신로 14 (점촌동),054-553-5517
일반음식점,양산박식당,경상북도 문경시 중앙6길 19-1 (점촌동),054-553-8822
일반음식점,청림식당,경상북도 문경시 신흥3길 6 (흥덕동),054-552-3109
일반음식점,일성식당,경상북도 문경시 매봉2길 11-4 (모전동),054-555-6060
일반음식점,형남식당,경상북도 문경시 중앙로 50 (모전동),054-555-2132
일반음식점,만리장성,경상북도 문경시 문경읍 온천4길 18,054-571-2797
일반음식점,궁정동식당,경상북도 문경시 신흥시장길 23-6 (흥덕동),054-555-3269
일반음식점,꺽지낭자메기도령,경상북도 문경시 산양면 중앙로 352-3,054-555-8800
일반음식점,염소와 꼼장어 맛집,경상북도 문경시 중앙로 300 (흥덕동),054-555-9247
일반음식점,할매분식,경상북도 문경시 호서로 89 (흥덕동),054-553-1472
일반음식점,왕쭈꾸미,경상북도 문경시 당교로 252 (모전동),054-555-9100
일반음식점,벨라테라,경상북도 문경시 매봉3길 19-1 (모전동),054-553-4253
일반음식점,고향정,경상북도 문경시 당교로 246 (모전동),054-555-8979
일반음식점,뱅가지통닭,경상북도 문경시 마성면 동성길 9,054-571-5722
일반음식점,새재왕갈비탕,경상북도 문경시 문경읍 여우목로 13,054-572-3366
일반음식점,민들레,경상북도 문경시 가은읍 대야로 2476,054-572-0402
일반음식점,선유동식당,경상북도 문경시 가은읍 학천정길 23,054-571-7918
일반음식점,돌마당식당,경상북도 문경시 가은읍 용추길 60-8,054-571-6542
일반음식점,시골마당,경상북도 문경시 영순면 영풍로 622-3,054-554-0672
일반음식점,은행나무집,경상북도 문경시 산양면 불암1길 21-4,054-552-5395
일반음식점,향춘칼국수,경상북도 문경시 호계면 상무로 355,054-553-6794
일반음식점,소문난식당,경상북도 문경시 문경읍 새재로 876,054-572-2255
일반음식점,서울주막,경상북도 문경시 문경읍 새재1길 64,054-571-2488
일반음식점,새재통큰짬뽕,경상북도 문경시 문경읍 주흘1길 26,054-572-7007
일반음식점,문경새재식당,경상북도 문경시 문경읍 새재1길 72,054-571-2468
일반음식점,금난옥가든,경상북도 문경시 불정길 146-8 (불정동),054-552-0593
일반음식점,스모스통닭,경상북도 문경시 중앙시장길 30-11 (점촌동),054-552-0996
일반음식점,우리왕만두,경상북도 문경시 중앙시장1길 2-15 (점촌동),054-000-0000
일반음식점,새벽종,경상북도 문경시 중앙8길 18-1 (점촌동),054-555-8136
일반음식점,동해맛집,경상북도 문경시 신흥로 125-1 (점촌동),054-000-0000
일반음식점,새재반점,경상북도 문경시 점촌로 8 (점촌동),054-553-4286
일반음식점,새삼일식당,경상북도 문경시 점촌로 26-3 (점촌동),054-555-4556
일반음식점,수궁식당,경상북도 문경시 호서로 25 (점촌동),054-555-5907
