연번,업소명,소재지,위도,경도,지역,지정등급,지정번호,지정일자
1,삼성웰스토리(주)동래베네스트,부산광역시 금정구 남산동 265-34,35.2651881,129.1004076,매우우수,HG170000164,부산광역시 금정구,2019-08-16
2,돈까스로,부산광역시 금정구 동부곡로6번길 16(부곡동),35.22503532,129.0920653,좋음,HG170000303,부산광역시 금정구,2019-09-15
3,주식회사세연정,부산광역시 동래구 충렬대로 149(온천동),35.20517834,129.0769402,매우우수,HG170000345,부산광역시 동래구,2019-09-26
4,오막집,"부산광역시 해운대구 해운대해변로209번나길 28(우동, 지상2,3층)",35.16005548,129.1550537,매우우수,HG170000368,부산광역시 해운대구,2019-10-10
5,누리마을감자탕,부산광역시 강서구 명지국제8로 259(2층 명지동),35.0982603,128.9212118,좋음,HG170000400,부산광역시 강서구,2019-10-18
6,(주)그랜드애플,"부산광역시 해운대구 센텀1로 25(우동, 센텀한샘빌딩 6층)",35.16642066,129.1320155,매우우수,HG170000410,부산광역시 해운대구,2019-10-19
7,예이제,"부산광역시 해운대구 해운대해변로298번길 29(중동, 해운대푸르지오씨디 210~216호)",35.1609695,129.1668879,매우우수,HG170000411,부산광역시 해운대구,2019-10-19
8,메르씨엘(MERCIEL),"부산광역시 해운대구 달맞이길65번길 154(중동, 2,3,4층)",35.15652269,129.1783596,매우우수,HG170000510,부산광역시 해운대구,2019-11-14
9,백향만두,부산광역시 부산진구 당감로 118(부암동),35.17297868,129.0369505,좋음,HG170000515,부산광역시 부산진구,2019-11-15
10,리스또란테 금정(Ristorante GEUMJEONG),부산광역시 동래구 금강공원로20번길 23(온천동),35.22024704,129.0822581,매우우수,HG170000534,부산광역시 동래구,2019-11-17
11,라세느2,"부산광역시 부산진구 가야대로 772(5층 부전동, 부산롯데호텔)",35.15679253,129.0564133,매우우수,HG170000633,부산광역시 부산진구,2019-12-12
12,금수가,부산광역시 해운대구 마린시티3로 37(한일오르듀 상가동 1층 110~112호 일부호 우동),35.15544866,129.1466033,매우우수,HG170000649,부산광역시 해운대구,2019-12-14
13,모모야마무궁화,"부산광역시 부산진구 가야대로 772(지상41층 부전동, 부산롯데호텔)",35.15679253,129.0564133,매우우수,HG180000074,부산광역시 부산진구,2020-02-21
14,일등가,부산광역시 기장군 기장읍 기장해안로 266(4층 더이스트인부산),35.19821553,129.2242262,매우우수,HG180000142,부산광역시 기장군,2020-03-27
15,본도시락,"부산광역시 부산진구 엄광로 16(개금동, 개금현대I아파트 상가221동101호)",35.14810805,129.0179777,매우우수,HG180000362,부산광역시 부산진구,2020-06-22
16,용호동낙지 신세계센텀시티점,"부산광역시 해운대구 센텀남대로 35(우동, 9층 일부)",35.16863843,129.1290824,매우우수,HG180000402,부산광역시 해운대구,2020-06-28
17,딤딤섬 센텀시티점,"부산광역시 해운대구 센텀남대로 35(우동, 9층 일부)",35.16863843,129.1290824,매우우수,HG180000406,부산광역시 해운대구,2020-06-28
18,밀화,"부산광역시 해운대구 센텀남대로 35(우동, 9층 일부)",35.16863843,129.1290824,매우우수,HG180000407,부산광역시 해운대구,2020-06-28
19,개정,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 9층 일부호 우동),35.16863843,129.1290824,매우우수,HG180000450,부산광역시 해운대구,2020-07-03
20,사리원냉면,"부산광역시 해운대구 센텀남대로 35(우동, 9층 일부)",35.16863843,129.1290824,매우우수,HG180000451,부산광역시 해운대구,2020-07-03
21,문스시(신세계백화점센텀시티점),"부산광역시 해운대구 센텀남대로 35(우동, 9층 일부)",35.16863843,129.1290824,매우우수,HG180000452,부산광역시 해운대구,2020-07-03
22,(주)캘리스코히바린 신세계센텀점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 9층 일부호 우동),35.16863843,129.1290824,매우우수,HG180000453,부산광역시 해운대구,2020-07-03
23,싱카이 신세계센텀점,부산광역시 해운대구 센텀남대로 35(신세계백화점센텀시티점 9층 일부호 우동),35.16863843,129.1290824,매우우수,HG180000455,부산광역시 해운대구,2020-07-03
24,멤버스라운지,부산광역시 수영구 광안해변로 229(15층 광안동),35.15432718,129.1190835,매우우수,HG180000565,부산광역시 수영구,2020-07-30
25,시네드쉐프 센텀시티,"부산광역시 해운대구 센텀남대로 35(우동, 신세계백화점센텀점 지상5층)",35.16863843,129.1290824,매우우수,HG180000630,부산광역시 해운대구,2020-08-09
26,T.G.I.F 롯데동래점,"부산광역시 동래구 중앙대로 1393(8층 온천동, 롯데백화점)",35.21170859,129.0774768,매우우수,HG180000896,부산광역시 동래구,2020-10-16
27,티지아이에프(TGIF)서면롯데점,"부산광역시 부산진구 가야대로 772(지상9층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG180000996,부산광역시 부산진구,2020-11-05
28,다모임(DaMOIM),부산광역시 기장군 기장읍 기장해안로 268-32(본동 지하1~지하2층 힐튼호텔),35.19839663,129.2285885,매우우수,HG180001014,부산광역시 기장군,2020-11-08
29,맥퀸즈바앤그릴(McQueen`s Bar&Grill),부산광역시 기장군 기장읍 기장해안로 268-32(본동 10층 힐튼호텔),35.19839663,129.2285885,매우우수,HG180001016,부산광역시 기장군,2020-11-08
30,탄탄면공방부산롯데서면점,"부산광역시 부산진구 가야대로 772(지하1층 부전동, 롯데백화점)",35.15679253,129.0564133,매우우수,HG180001079,부산광역시 부산진구,2020-11-19
31,본도시락부산법조타운점,"부산광역시 연제구 법원로32번길 10(거제동, 협성프라자 1동 104호)",35.19132698,129.074583,우수,HG180001103,부산광역시 연제구,2020-11-20
32,아시아드CC클럽하우스,부산광역시 기장군 일광면 차양길 26,35.28717076,129.2401643,매우우수,HG180001137,부산광역시 기장군,2020-11-26
