업종명,업소명,소재지,소재지 전화,데이터기준일자
미용업,살롱에이 안동점,"경상북도 안동시 남문로 22-14, 2층 (남문동)",054-855-5421,2020-09-07
미용업,쪼미헤어샵,경상북도 안동시 경동로 937-2 (용상동),054-855-9586,2020-09-07
일반미용업,아리엔미용실,경상북도 안동시 제비원로 148 (광석동),054-853-7559,2020-09-07
일반미용업,꽃님미용실,경상북도 안동시 서동문로 107-2 (법상동),054-857-3507,2020-09-07
일반미용업,명동헤어샵,"경상북도 안동시 경동로 481 (평화동, 평화현대@ A동106호)",054-857-2766,2020-09-07
일반미용업,개성시대미용실,"경상북도 안동시 법상길 16, 1층 (법상동)",054-841-5870,2020-09-07
일반미용업,또봐요미용실,경상북도 안동시 대안로 118 (안흥동),,2020-09-07
일반미용업,여인천하미용실,경상북도 안동시 퇴계로 87-1 (목성동),054-855-7480,2020-09-07
일반미용업,필헤어,경상북도 안동시 단원로 117 (안기동),054-854-0012,2020-09-07
일반미용업,티파니미용실,경상북도 안동시 경동로 904 (용상동),054-821-1721,2020-09-07
일반미용업,용성미용실,경상북도 안동시 경동로 842 (용상동),054-821-4542,2020-09-07
일반미용업,김윤희헤어샵,경상북도 안동시 전거리4길 25 (용상동),054-821-4550,2020-09-07
일반미용업,세실미용실,경상북도 안동시 경동로 916 (용상동),054-821-1186,2020-09-07
일반미용업,하나미용실,경상북도 안동시 경동로 853 (용상동),054-821-0868,2020-09-07
일반미용업,윤헤어,"경상북도 안동시 전거리8길 84, 1층 (용상동)",054-821-4057,2020-09-07
일반미용업,명지헤어타운,경상북도 안동시 경동로 975 (용상동),054-822-5666,2020-09-07
일반미용업,샘미용실,경상북도 안동시 경동로 940-1 (용상동),054-821-2772,2020-09-07
일반미용업,은진미용실,"경상북도 안동시 경동로 1009, c동 (용상동)",054-821-7548,2020-09-07
일반미용업,티아라 헤어,경상북도 안동시 길주길 73 (용상동),054-823-1011,2020-09-07
일반미용업,보오그미용실,경상북도 안동시 강남1길 98-14 (정하동),054-854-5143,2020-09-07
일반미용업,로사헤어비스미용실,경상북도 안동시 강남7길 26 (정하동),054-841-3639,2020-09-07
일반미용업,한양미용실,경상북도 안동시 퇴계로 149 (신안동),054-858-1374,2020-09-07
일반미용업,진헤어샵,"경상북도 안동시 은행나무로 106-3, 103호 (옥동, 주공임대아파트상가내)",054-854-1133,2020-09-07
일반미용업,노랑미용실,경상북도 안동시 은행나무로 106-6 (옥동),054-852-8808,2020-09-07
일반미용업,뉴스타미용실,경상북도 안동시 단원로 52 (운안동),054-854-2981,2020-09-07
일반미용업,이재선 헤어샵,"경상북도 안동시 은행나무로 106-3, 2층 209호 (옥동, 옥동2주공아파트)",,2020-09-07
일반미용업,새롬 미용실,경상북도 안동시 복주3길 35 (옥동),054-856-5885,2020-09-07
일반미용업,머리마을미용실,경상북도 안동시 경동로 325 (송현동),054-855-7535,2020-09-07
일반미용업,춘추미용실,경상북도 안동시 경북대로 418 (옥동),054-841-8600,2020-09-07
일반미용업,샤넬미용실,경상북도 안동시 말구리길 5 (옥동),054-859-3556,2020-09-07
일반미용업,신데렐라,경상북도 안동시 강남1길 105 (정하동),054-852-8703,2020-09-07
일반미용업,스마트머리방,경상북도 안동시 퇴계로 212 (신안동),,2020-09-07
일반미용업,우미용실,경상북도 안동시 퇴계로 188 (신안동),054-858-1996,2020-09-07
일반미용업,이현정헤어CT,경상북도 안동시 치이골길 6 (신안동),054-857-8754,2020-09-07
