업소명,전화번호,소재지,업태,주취급음식
윤동균한방쑥면본점,055-366-7599,경상남도 양산시 덕계5길 8(덕계동),한식,한방쑥면
진송추어탕 덕계점,055-365-0022,"경상남도 양산시 덕계로 76, 2동 2층(덕계동)",한식,추어탕
에이원CC점 클럽하우스,055-371-3500,경상남도 양산시 덕명로 190(매곡동),양식,스테이크
종정헌,055-366-3373,경상남도 양산시 동면 석산3길 12,한식,영양돌솥밥
대각정,055-362-4788,경상남도 양산시 매곡3길 12-3(매곡동),한식,숯불갈비
수정원,055-385-7117,경상남도 양산시 명동7길3(명동),한식,숯불갈비
착한낙지 양산점,055-363-5456,"경상남도 양산시 물금읍 동중5길 23, 1층",한식,낙지요리
장수녹각삼계탕,055-387-2800,경상남도 양산시 물금읍 황산로 669,한식,삼계탕
청해대복,055-389-2345,경상남도 양산시 북안남1길 31(북부동),한식,복매운탕
수영양곱창,055-388-3413,경상남도 양산시 북안남3길 42(북부동),한식,양곱창
동보식당,055-389-1516,경상남도 양산시 북안북3길 20(북부동),한식,쌈밥
신라해장국,055-374-0080,경상남도 양산시 상북면 소토로 77,한식,해장국
영광식당,055-374-2069,경상남도 양산시 상북면 어곡터널로 207,한식,복매운탕
화림초밥,055-366-1288,경상남도 양산시 양산역4길 5(중부동),한식,회초밥
쿠이삼겹살,055-362-3909,경상남도 양산시 양주2길 67(중부동),한식,삼겹살
산새도,055-386-8735,경상남도 양산시 용당내광로 84(용당동),한식,메밀비빔밥
송강민물매운탕,055-365-1497,경상남도 양산시 용암길 17-8,한식,민물매운탕
강변가든,055-382-9282,경상남도 양산시 원동면 원동로 1712,한식,갈비탕
양산축협중부점식육셀프식당,055-385-3000,경상남도 양산시 장터2길 4(중부동),한식,소고기구이
돌담,055-389-2275,경상남도 양산시 주진3길 12 (주진동),한식,오리백숙
진송추어탕,055-389-1995,"경상남도 양산시 중앙로 293-1, 1층(북정동)",한식,추어탕
한우한마리,055-366-0092,경상남도 양산시 중앙우회로 148(북부동),한식,소고기구이
통도사휴게소(한.양식),055-383-6147,경상남도 양산시 하북면 경부고속도로 31-1,한식,한우국밥
경도갈비,055-382-8051,경상남도 양산시 하북면 신평남부길101-2,한식,갈비류
감포숯불,055-383-5215,경상남도 양산시 하북면 초산3길 33-9,한식,불고기
고향의봄,055-384-8468,경상남도 양산시 하북면 초산6길 15,한식,숯불갈비
