업종명,업소명,소재지,영업시작일,폐업일,영업상태,데이터기준일자
일반음식점,일품관,경상북도 영양군 영양읍 황용천길 60,2014-04-11,2021-02-03,폐업,2021-05-10
일반음식점,청동식당,경상북도 영양군 석보면 원리길 30,1987-05-19,2021-03-10,폐업,2021-05-10
일반음식점,해성식당,경상북도 영양군 입암면 입암로 78,2017-02-15,,운영,2021-05-10
일반음식점,청기식당,경상북도 영양군 청기면 청기3길 28,1996-12-12,,운영,2021-05-10
일반음식점,청풍식당,경상북도 영양군 수비면 한티로 479,1995-10-11,,운영,2021-05-10
일반음식점,선미식당,경상북도 영양군 수비면 도랑골길 6-1,2008-04-04,,운영,2021-05-10
일반음식점,부산식당,경상북도 영양군 영양읍 시장길 1-15 부산식당,2010-09-03,,운영,2021-05-10
일반음식점,새봄식당,경상북도 영양군 일월면 영양로 2239-4,2020-02-11,,운영,2021-05-10
일반음식점,기차역,경상북도 영양군 수비면 한티로 500,2015-05-12,,운영,2021-05-10
일반음식점,너랑나랑,경상북도 영양군 영양읍 중앙로 122,2018-12-04,,운영,2021-05-10
일반음식점,포항식당,경상북도 영양군 청기면 청기1길 9-7 포항식당,2018-02-22,,운영,2021-05-10
일반음식점,서울반점,경상북도 영양군 영양읍 영양창수로 17,2017-12-08,,운영,2021-05-10
일반음식점,대복식당,경상북도 영양군 영양읍 황용천길 48,2019-06-24,,운영,2021-05-10
일반음식점,희야돌곱창식당,경상북도 영양군 입암면 입암로 138-4,1999-03-17,,운영,2021-05-10
일반음식점,부산식당,경상북도 영양군 입암면 조기리길 24-1,2010-12-01,,운영,2021-05-10
일반음식점,부산해물식당,경상북도 영양군 영양읍 군민회관길 16,2015-07-17,,운영,2021-05-10
일반음식점,삼거리식당,경상북도 영양군 수비면 낙동정맥로 2412,2017-12-08,,운영,2021-05-10
일반음식점,선산식당,경상북도 영양군 영양읍 중앙로 116-4,2015-11-19,,운영,2021-05-10
일반음식점,중국집,경상북도 영양군 영양읍 황용천길 53,2014-07-10,,운영,2021-05-10
일반음식점,경북식당,경상북도 영양군 영양읍 시장5길 9,2014-06-13,,운영,2021-05-10
일반음식점,대성식당,경상북도 영양군 청기면 청기1길 8,2004-11-02,,운영,2021-05-10
일반음식점,가마솥가든,경상북도 영양군 영양읍 시장길 24,2008-05-30,,운영,2021-05-10
일반음식점,녹향,경상북도 영양군 영양읍 중앙로 112,2014-02-25,,운영,2021-05-10
일반음식점,57횟집,경상북도 영양군 석보면 원리1길 9,1993-09-08,,운영,2021-05-10
일반음식점,이오식당,경상북도 영양군 영양읍 시장3길 13-2,2017-10-30,,운영,2021-05-10
일반음식점,척금대식당,경상북도 영양군 일월면 상원로 623,2002-05-30,,운영,2021-05-10
일반음식점,칠성식당,경상북도 영양군 일월면 영양로 2403-1,1988-01-21,,운영,2021-05-10
일반음식점,영양보양탕,경상북도 영양군 영양읍 중앙로 91,2008-06-10,,운영,2021-05-10
일반음식점,박리찌게백반,경상북도 영양군 영양읍 황용천길 32,1992-12-23,,운영,2021-05-10
일반음식점,동반자,경상북도 영양군 영양읍 중앙로 156,2018-06-22,,운영,2021-05-10
일반음식점,별미식당,경상북도 영양군 수비면 한티로 470,1993-11-27,,운영,2021-05-10
일반음식점,대풍식당,경상북도 영양군 석보면 원리길 11,1989-09-19,,운영,2021-05-10
일반음식점,일월식당,경상북도 영양군 일월면 영양로 2406 일월식당,2020-11-12,,운영,2021-05-10
일반음식점,원조큰손짜장,경상북도 영양군 영양읍 영양로 1610,2011-03-11,,운영,2021-05-10
일반음식점,양항약수식당,경상북도 영양군 입암면 약수탕길 17,2013-03-04,,운영,2021-05-10
일반음식점,입암약수식당,경상북도 영양군 입암면 약수탕길 13,2007-05-22,,운영,2021-05-10
일반음식점,충전식당,경상북도 영양군 영양읍 시장4길 14,2020-11-17,,운영,2021-05-10
일반음식점,이가네 감자탕 해장국,경상북도 영양군 영양읍 중앙로 115,2019-03-18,,운영,2021-05-10
일반음식점,중앙식당,경상북도 영양군 청기면 재일로 1371-2,1990-09-03,,운영,2021-05-10
일반음식점,해궁구이,경상북도 영양군 영양읍 군민회관길 8-1,2011-03-02,,운영,2021-05-10
일반음식점,동백소주방,경상북도 영양군 영양읍 시장4길 18,2019-10-22,,운영,2021-05-10
일반음식점,조은날,경상북도 영양군 영양읍 중앙로 126-5,2012-02-08,,운영,2021-05-10
일반음식점,어울림식당,경상북도 영양군 영양읍 중앙로 97,2019-06-11,,운영,2021-05-10
일반음식점,마당메기약수산장,경상북도 영양군 입암면 약수탕길 16,2009-07-20,,운영,2021-05-10
일반음식점,동광치킨,경상북도 영양군 입암면 조기리길 4-1,2019-12-16,,운영,2021-05-10
일반음식점,남산골식당,경상북도 영양군 영양읍 중앙로 111,2017-03-15,,운영,2021-05-10
일반음식점,맛나횟집,경상북도 영양군 영양읍 시장길 23,2015-08-10,,운영,2021-05-10
일반음식점,맘포식당,경상북도 영양군 영양읍 시장3길 15,2003-02-06,,운영,2021-05-10
일반음식점,송죽반점,경상북도 영양군 영양읍 시장길 9,2003-12-03,,운영,2021-05-10
일반음식점,삼시세끼북새통,경상북도 영양군 영양읍 중앙로 132-30,2019-04-01,,운영,2021-05-10
일반음식점,동해식당,경상북도 영양군 입암면 입암로 141,1992-05-14,,운영,2021-05-10
일반음식점,강청식당,경상북도 영양군 수비면 한티로 475,2014-12-10,,운영,2021-05-10
일반음식점,기사식당,경상북도 영양군 수비면 한티로 485,2020-10-22,,운영,2021-05-10
일반음식점,대림한정식,경상북도 영양군 영양읍 동서부길 6,1993-04-14,,운영,2021-05-10
일반음식점,구내식당,경상북도 영양군 영양읍 군청길 37,2013-11-08,,운영,2021-05-10
일반음식점,또순네식당,경상북도 영양군 영양읍 영양창수로 77-4,2021-01-20,,운영,2021-05-10
일반음식점,우미정,경상북도 영양군 영양읍 군민회관길 17,2018-08-01,,운영,2021-05-10
일반음식점,목화식당,경상북도 영양군 영양읍 동서대로 52,2020-01-30,,운영,2021-05-10
일반음식점,금성식당,경상북도 영양군 석보면 원리길 11-3,2000-11-27,,운영,2021-05-10
일반음식점,곤드레만드레,경상북도 영양군 영양읍 군민회관길 15,2011-10-24,,운영,2021-05-10
일반음식점,백동식당,경상북도 영양군 영양읍 동서대로 50,2019-01-21,,운영,2021-05-10
일반음식점,미래소주방,경상북도 영양군 영양읍 중앙로 146,2019-12-23,,운영,2021-05-10
일반음식점,한강수 식당,경상북도 영양군 영양읍 중앙로 113-1,2020-10-27,,운영,2021-05-10
일반음식점,일월산식당,경상북도 영양군 청기면 찰당로 498,2009-06-01,,운영,2021-05-10
일반음식점,식도락,경상북도 영양군 입암면 입암로 73,1999-12-13,,운영,2021-05-10
일반음식점,태양식당,경상북도 영양군 석보면 석보로 1187,2020-04-02,,운영,2021-05-10
일반음식점,고향식당,경상북도 영양군 영양읍 영양창수로 21,1997-05-29,,운영,2021-05-10
일반음식점,辛짬뽕상회,경상북도 영양군 영양읍 중앙로 134,2020-09-15,,운영,2021-05-10
일반음식점,부일식당,경상북도 영양군 영양읍 군청길 52,2000-05-27,,운영,2021-05-10
일반음식점,추억식당,경상북도 영양군 영양읍 중앙로 132-4,2017-09-25,,운영,2021-05-10
일반음식점,고향해물탕,경상북도 영양군 입암면 입암로 121,2010-01-27,,운영,2021-05-10
일반음식점,놀이터,경상북도 영양군 영양읍 중앙로 148,2015-03-12,,운영,2021-05-10
일반음식점,폭포가든,경상북도 영양군 영양읍 영양로 1282-14,2001-08-17,,운영,2021-05-10
일반음식점,영양만점 순대국밥,경상북도 영양군 영양읍 동서부길 6-7,2021-04-26,,운영,2021-05-10
일반음식점,투다리영양점,경상북도 영양군 영양읍 솔광장길 1,2007-03-22,,운영,2021-05-10
일반음식점,불목한우전문점,경상북도 영양군 영양읍 중앙로 136-3,2013-02-04,,운영,2021-05-10
일반음식점,시골집,경상북도 영양군 입암면 입암로 76,2014-03-24,,운영,2021-05-10
일반음식점,어전회,경상북도 영양군 영양읍 시장4길 10,2014-05-07,,운영,2021-05-10
일반음식점,밥집&술집,경상북도 영양군 영양읍 중앙로 130,2018-06-14,,운영,2021-05-10
일반음식점,메밀나루 막국수,경상북도 영양군 영양읍 팔수로2길 15,2018-04-19,,운영,2021-05-10
일반음식점,작은공간,경상북도 영양군 영양읍 동서대로 65,1997-06-03,,운영,2021-05-10
일반음식점,장원가든,경상북도 영양군 영양읍 솔광장길 9-6,2017-01-03,,운영,2021-05-10
