Region,Heritage_True,Heritage_Type,Period,Latitude,Longitude,Heritage_Name
1,2,1,1,34.85839652,128.4782645,학산 영등포 지석묘(鶴山 永登蒲 支石墓)
1,2,1,1,34.953478,128.6539233,하청리 지석묘(河淸里 支石墓)
1,2,1,1,34.93503282,128.6568358,중리 지석묘(中里 支石墓)
1,2,1,2,34.91459362,128.6565239,죽토삼거리 고분군(竹土三距離 古墳群)
1,2,1,2,34.853696,128.570539,외간리 고분군(外看里 古墳群)
1,2,1,4,34.80589857,128.5848008,오송리 고분군(五松里 古墳群)
1,2,1,1,34.96189455,128.6564646,실전리 지석묘(實田里 支石墓)
1,2,1,1,34.849373,128.484824,술역리 지석묘(述亦里 支石墓)
1,2,1,1,34.840655,128.696186,소동리 지석묘(小洞里 支石墓)
1,2,1,2,34.94590124,128.6230109,동리 고분군(東里 古墳群)
1,2,1,1,34.928152,128.653366,도봉골 지석묘(支石墓)
1,2,1,1,34.878752,128.477764,광리 지석묘(廣里支石墓)
1,2,4,5,34.82501073,128.474188,화도 봉수대(火島 烽燧臺)
1,2,4,2,34.9546126,128.6529294,하청리 토기 산포지(河淸里 土器 散布地)
1,2,4,1,34.95760015,128.655816,창동 무문토기 주거지
1,2,4,5,34.85242525,128.5893351,제기 및 고서적(祭器 및 古書籍)
1,2,4,1,34.968419,128.729734,이수도 패총(利水島 貝塚)
1,2,4,5,34.90219572,128.7140589,옥포만호비(玉浦萬戶碑)
1,2,4,2,34.833527,128.600928,오수리 토기 산포지(烏首里 土器 散佈地)
1,1,4,4,34.834547,128.494751,술역리 내평숲(述亦里 內坪숲)
1,2,3,5,34.884738,128.6370412,수월산성(水月山城)
1,2,1,1,34.91430108,128.680115,송정리 지석묘(松亭里 支石墓)
1,2,4,1,34.816516,128.538517,산달도 패총(産達島 貝塚)
1,2,4,5,34.835203,128.534692,법동리 분청도요지(法東里 粉靑陶窯地)
1,2,4,7,34.84612716,128.6120666,명진리 유적(明珍里 遺蹟)
1,2,4,1,34.886393,128.548935,망산 봉수대(望山 烽燧臺)
1,2,1,1,34.93251365,128.652402,대촌 지석묘(大村 支石墓)
1,2,4,1,34.788175,128.712466,내도 패총(內島 貝塚)
1,2,4,1,34.847579,128.592294,남산패총(南山貝塚)
1,2,3,5,34.78935417,128.598434,율포산성(栗浦山城)
1,2,4,6,34.931554,128.715183,김영삼 대통령 생가 (金泳三 前 大統領 生家)
1,2,4,6,34.88167039,128.7253181,옥포정(玉浦亭)
1,2,4,5,34.852135,128.5958997,반곡서원(盤谷書院)
2,2,4,3,35.8072659,129.2120919,경주 포석정지
2,2,2,2,35.83895473,129.2334234,경주 황룡사지
2,2,2,3,35.81767108,129.2439626,경주 망덕사지
2,2,2,3,35.81989097,129.2426113,경주 사천왕사지
2,2,2,2,35.82857455,129.2068918,경주 흥륜사지
2,2,3,2,35.83250116,129.224003,경주 월성
2,2,3,3,35.83499582,129.2265066,경주 동궁과 월지
2,2,4,2,35.83299942,129.2190006,경주 계림
2,2,1,3,35.82515257,129.1877981,경주 무열왕릉
2,2,1,3,35.84358181,129.1913568,경주 김유신묘
2,2,3,2,35.81702268,129.2296004,경주 남산신성
2,2,1,3,35.76290438,129.1879802,경주 경덕왕릉
2,2,1,2,35.88694546,129.2016288,경주 진덕여왕릉
2,2,3,5,35.84438302,129.0606908,경주 부산성
2,2,1,3,35.75995843,129.3200866,경주 원성왕릉
2,2,1,3,35.77777434,129.2972478,경주 구정동 방형분
2,2,1,3,35.78762563,129.2808982,경주 성덕왕릉
2,2,1,3,35.84365634,129.2452756,경주 헌덕왕릉
2,2,1,3,36.01823005,129.2073758,경주 흥덕왕릉
2,2,2,3,35.74848762,129.4765417,경주 감은사지
2,2,1,2,35.83282793,129.1214421,경주 금척리 고분군
2,2,2,3,35.80678997,129.3876027,경주 장항리 사지
2,2,2,3,35.69771404,129.3495005,경주 원원사지
2,2,3,2,35.83578073,129.2552532,경주 명활성
2,2,3,3,35.67030974,129.3357299,관문성
2,2,2,3,35.83519514,129.2817894,경주 천군동 사지
2,2,4,3,35.84509839,129.2239474,경주 성동동 전랑지
2,2,4,2,35.7965161,129.242312,경주 서출지
2,2,1,3,35.82551037,129.18614,경주 서악동 고분군
2,2,1,3,35.7381426,129.4867725,경주 문무대왕릉
2,2,4,3,35.74446465,129.4838097,경주 이견대
2,2,4,3,35.86654817,129.2168464,경주 동부 사적지대
2,2,4,2,35.82779676,129.2289745,경주 낭산 일원
2,2,1,2,35.8237264,129.2082346,경주 오릉
2,2,1,2,35.81412659,129.2204246,경주 일성왕릉
2,2,1,2,35.85229759,129.2323858,경주 탈해왕릉
2,2,1,2,35.83669475,129.2134669,경주 미추왕릉
2,2,1,2,35.84382659,129.1921683,경주 법흥왕릉
2,2,1,2,35.82907895,129.1834188,경주 진흥왕릉
2,2,1,2,35.82829607,129.184202,경주 현안왕릉
2,2,1,2,35.83271523,129.2509299,경주 진평왕릉
2,2,1,2,35.81806708,129.24608,경주 신문왕릉
2,2,1,2,35.82370737,129.2424082,경주 선덕여왕릉
2,2,1,3,35.82143187,129.2501779,경주 효공왕릉
2,2,1,3,35.78746967,129.2810346,경주 효소왕릉
2,2,1,3,35.81241771,129.2596621,경주 신무왕릉
2,2,1,3,35.79914218,129.2409162,경주 정강왕릉
2,2,1,2,35.80239911,129.2402665,경주 헌강왕릉
2,2,1,2,35.83329547,129.2184403,경주 내물왕릉
2,2,1,3,35.8212264,129.176492,경주 전 민애왕릉
2,2,1,3,35.7988071,129.2083269,경주 배동 삼릉
2,2,1,3,35.78979376,129.1794014,경주 희강왕릉
2,2,1,2,35.80546749,129.211449,경주 지마왕릉
2,2,1,3,35.79600544,129.20862,경주 경애왕릉
2,2,4,3,35.92500821,129.274463,경주 화산리 회유토기요지
2,2,4,2,35.81605658,129.2125465,경주 나정
2,2,4,2,35.82936254,129.2133693,경주 재매정
2,2,4,4,35.83458762,129.2588894,경주 동방동 와요지
2,2,4,2,35.82784026,129.2289423,경주 남산 일원
2,2,4,3,35.86152363,129.2243263,경주 용강동 고분
2,2,2,2,35.82503744,129.2152962,경주 천관사지
2,2,1,2,35.78064404,129.3005613,경주 구정동 고분군
2,2,2,2,35.82613413,129.2542863,경주 보문동 사지
2,2,4,3,35.86624569,129.2209491,경주 용강동 원지 유적
2,2,4,3,35.86096092,129.2963232,경주 손곡동과 물천리 유적
2,2,4,3,35.82945103,129.2180476,경주 춘양교지와 월정교지
2,2,1,2,35.86732707,129.2114151,경주 황성동 고분
2,2,2,2,35.79021022,129.3320817,경주 불국사
2,2,4,2,35.83756562,129.2130171,경주 대릉원 일원
2,2,1,2,35.83048905,129.1841503,경주 진지왕릉
2,2,1,3,35.83048905,129.1841503,경주 문성왕릉
2,2,2,3,35.83011328,129.2221832,경주 인왕동 사지
2,2,2,2,35.84070146,129.2338621,경주 분황사지
2,2,4,3,35.840556,129.235833,경주 구황동원지 유적 일원
3,2,4,5,35.776999,128.288799,봉평리 암각화(鳳坪里 岩刻畵)
3,2,1,5,35.839699,128.408799,나씨할매릉
3,2,2,7,35.828199,128.434999,미륵불상
3,2,1,5,35.724199,128.356999,대분
3,2,4,5,35.68458925,128.2240525,매림서원(梅林書院)
3,2,2,5,35.72985926,128.2395001,대곡사(용화재) 大谷祠(龍華齋)
3,2,4,5,35.8135001,128.389299,지지재
3,2,4,5,35.6781001,128.3411982,남와구거
3,2,4,5,35.67969765,128.339899,모현정(慕賢亭)
3,2,4,5,35.8033001,128.3830001,후송재
4,2,2,5,34.71734146,128.0415858,무민사
4,2,4,5,34.94194254,127.8761835,자암 김구비
4,2,4,5,34.83195528,127.8991855,봉천사 묘정비
4,2,4,6,34.835202,127.8945289,영모문
5,2,3,2,35.8281768,128.6028814,봉덕토성(용두토성)
5,2,4,5,35.8594593,128.4863475,신당동석장승
5,1,4,7,35.85355,128.4815,대구읍지
5,1,4,7,35.85355,128.4815,허암유고
5,1,4,7,35.8219,128.5506,대구보성선원 목조석가여래삼존좌상 복장불서
5,1,4,7,35.85355,128.4815,삼국사기
5,1,4,7,35.85355,128.4815,북정록
5,1,4,7,35.83523,128.5503,영제시조
5,1,4,7,35.83583,128.5461,모필장
5,1,4,7,35.85355,128.4815,삼경합부
